yaw,pitch,roll
-100.64,-6.89,-2.32
-101.47,-6.93,-3.38
-102.22,-7.07,-4.52
-102.87,-7.27,-5.75
-103.44,-7.48,-7.07
-103.93,-7.72,-8.48
-104.34,-7.95,-9.98
-104.68,-8.14,-11.55
-104.97,-8.26,-13.22
-105.24,-8.29,-14.95
-105.5,-8.28,-16.74
-105.72,-8.26,-18.56
-72.32,12.73,-9.86
-68.86,13.0,-5.88
-65.51,12.95,-2.15
-62.3,12.59,1.17
-59.3,11.99,3.96
-56.66,11.24,6.1
-54.41,10.37,7.56
-52.56,9.38,8.4
-51.03,8.22,8.73
-49.77,6.95,8.66
-48.76,5.62,8.29
-47.99,4.33,7.75
-47.42,3.11,7.13
-47.01,2.04,6.4
-46.81,1.15,5.63
-46.84,0.44,4.87
0.47,-5.74,2.26
-58.55,-5.78,2.15
-58.62,-5.82,2.04
-58.68,-5.86,1.92
-58.74,-5.89,1.81
-58.81,-5.92,1.69
-58.87,-5.94,1.57
-58.92,-5.97,1.46
-58.98,-5.98,1.34
-59.78,-6.25,-0.75
-59.77,-6.26,-0.83
-59.77,-6.25,-0.91
-59.75,-6.25,-0.98
-59.72,-6.26,-1.04
-59.69,-6.26,-1.1
-59.66,-6.28,-1.16
-59.63,-6.29,-1.22
-59.59,-6.3,-1.28
-59.57,-6.3,-1.34
-59.53,-6.3,-1.38
-59.51,-6.3,-1.42
-59.49,-6.3,-1.44
-59.46,-6.31,-1.45
-59.42,-6.31,-1.46
-59.39,-6.3,-1.46
-59.35,-6.28,-1.47
-59.31,-6.26,-1.49
-59.28,-6.23,-1.53
-59.25,-6.2,-1.58
-59.2,-6.17,-1.63
-59.14,-6.13,-1.68
-59.07,-6.08,-1.74
-58.98,-6.01,-1.79
-58.88,-5.92,-1.83
-58.75,-5.81,-1.86
-58.61,-5.68,-1.88
-58.45,-5.53,-1.89
-58.28,-5.37,-1.88
-58.08,-5.22,-1.84
-57.86,-5.09,-1.78
-57.64,-5.0,-1.68
-57.45,-4.93,-1.56
-113.54,-5.24,-4.72
-114.88,-5.59,-6.54
-116.13,-6.0,-8.37
-117.23,-6.41,-10.27
-118.16,-6.78,-12.21
-118.9,-7.07,-14.19
-119.44,-7.28,-16.2
-119.78,-7.43,-18.19
-119.99,-7.54,-20.14
-120.14,-7.62,-22.02
-120.25,-7.68,-23.82
-120.35,-7.74,-25.47
-120.42,-7.81,-26.98
-120.46,-7.87,-28.3
-120.47,-7.89,-29.41
-120.49,-7.84,-30.3
-120.52,-7.66,-30.93
-120.55,-7.33,-31.38
-120.46,-6.87,-31.7
-120.13,-6.36,-31.95
-119.48,-5.8,-32.11
-118.49,-5.2,-32.13
-117.23,-4.54,-32.01
-115.73,-3.8,-31.7
-114.04,-2.94,-31.23
-112.17,-1.93,-30.62
-110.15,-0.82,-29.92
-108.01,0.37,-29.17
-50.06,-8.27,3.08
-49.96,-8.83,2.34
