yaw,pitch,roll
-54.19,5.81,8.34
-54.21,5.7,8.74
-54.26,5.58,9.02
-54.35,5.46,9.16
-54.45,5.33,9.17
-54.56,5.22,9.09
-54.66,5.13,8.92
-54.75,5.07,8.69
-54.83,5.03,8.41
-54.87,5.01,8.12
-54.87,4.98,7.84
-54.83,4.94,7.59
-54.77,4.89,7.39
-54.68,4.83,7.25
-54.59,4.76,7.16
-54.5,4.7,7.11
-54.42,4.65,7.07
-54.34,4.61,7.04
-54.28,4.57,7.01
-54.24,4.52,6.98
-54.2,4.46,6.93
-54.19,4.4,6.86
-54.19,4.33,6.78
-54.2,4.26,6.68
-54.25,2.76,4.48
-54.24,2.75,4.42
-54.23,2.75,4.35
-54.23,2.74,4.29
-54.23,2.73,4.22
-57.94,-3.14,5.51
-58.02,-3.12,5.28
-58.11,-3.08,4.99
-58.2,-2.98,4.67
-58.29,-2.83,4.34
-58.36,-2.67,4.03
-58.41,-2.49,3.74
-58.45,-2.31,3.47
-58.47,-2.11,3.23
-57.93,-1.07,-1.06
-57.92,-1.09,-1.12
-57.9,-1.11,-1.16
-57.88,-1.12,-1.2
-57.84,-1.14,-1.23
-57.8,-1.15,-1.27
-57.79,-1.16,-1.3
-57.79,-1.17,-1.34
-57.8,-1.18,-1.39
-57.84,-1.19,-1.44
-57.87,-1.2,-1.5
-57.9,-1.21,-1.56
-57.92,-1.22,-1.62
-57.93,-1.22,-1.67
-57.93,-1.23,-1.73
-57.91,-1.22,-1.77
-57.89,-1.21,-1.82
-57.88,-1.19,-1.85
-57.86,-1.17,-1.9
-57.84,-1.16,-1.94
-57.83,-1.16,-1.98
-57.82,-1.15,-2.03
-57.82,-1.15,-2.07
-57.83,-1.15,-2.13
-57.84,-1.15,-2.19
-57.85,-1.15,-2.24
-57.85,-1.16,-2.29
-57.85,-1.15,-2.34
-57.84,-1.15,-2.38
-57.82,-1.14,-2.42
-57.79,-1.13,-2.45
-57.76,-1.11,-2.47
-57.73,-1.1,-2.49
-57.65,-1.12,-3.38
-57.62,-1.13,-3.38
-57.61,-1.16,-3.37
-57.6,-1.18,-3.37
-57.61,-1.2,-3.37
-57.61,-1.23,-3.37
-57.62,-1.25,-3.38
-57.63,-1.28,-3.38
-57.63,-1.31,-3.37
-57.63,-1.34,-3.37
-57.63,-1.35,-3.36
-57.64,-1.35,-3.35
-57.64,-1.36,-3.33
-57.62,-1.34,-3.3
-57.63,-1.32,-3.26
-57.63,-1.32,-3.21
-57.65,-1.4,-3.16
-57.69,-1.65,-3.13
-57.75,-2.15,-3.15
-57.86,-2.83,-3.21
-58.03,-3.33,-3.27
-58.2,-3.69,-3.39
-58.39,-4.1,-3.62
-58.6,-4.66,-3.92
-58.84,-5.3,-4.3
-59.1,-5.98,-4.76
-59.36,-6.66,-5.3
-59.59,-7.33,-5.9
-59.8,-8.04,-6.54
