yaw,pitch,roll
-66.2,-0.34,-1.86
-66.18,-0.32,-1.91
-66.16,-0.31,-1.95
-65.97,1.2,-3.72
-65.72,1.03,-3.75
-65.48,0.8,-3.72
-65.19,0.51,-3.72
-64.85,0.09,-3.83
-64.51,-0.45,-4.06
-64.21,-1.03,-4.41
-63.97,-1.59,-4.9
-63.78,-2.13,-5.52
-63.6,-2.67,-6.26
-63.4,-3.21,-7.06
-63.19,-3.76,-7.9
-62.93,-4.31,-8.75
-62.62,-4.84,-9.6
-62.25,-5.34,-10.41
-61.85,-5.8,-11.19
-61.45,-6.2,-11.91
-61.11,-6.55,-12.56
-60.84,-6.87,-13.16
-60.62,-7.17,-13.69
-60.46,-7.48,-14.15
-60.38,-7.8,-14.53
-60.4,-8.14,-14.82
-60.52,-8.5,-15.0
-60.75,-8.86,-15.06
-61.04,-9.25,-14.98
-61.42,-9.66,-14.75
-61.83,-10.1,-14.36
-62.29,-10.55,-13.8
-62.83,-10.99,-13.02
-63.46,-11.37,-12.05
-64.23,-11.66,-10.91
-115.72,-6.2,-11.86
-115.8,-6.62,-13.99
-115.82,-7.03,-16.14
-115.83,-7.38,-18.33
-115.84,-7.66,-20.53
-115.9,-7.87,-22.76
-116.02,-8.0,-25.01
-116.15,-8.08,-27.22
-116.22,-8.11,-29.4
-116.18,-8.11,-31.46
-116.0,-8.05,-33.38
-115.64,-7.92,-35.09
-115.08,-7.73,-36.55
-114.34,-7.47,-37.73
-113.4,-7.17,-38.59
-112.3,-6.84,-39.14
-111.07,-6.53,-39.37
-109.73,-6.24,-39.27
-108.32,-5.94,-38.88
-106.9,-5.59,-38.25
-105.47,-5.14,-37.42
-104.0,-4.57,-36.46
-102.48,-3.9,-35.43
-100.85,-3.16,-34.32
-99.13,-2.36,-33.13
-97.29,-1.5,-31.8
-95.35,-0.59,-30.26
-58.93,-2.15,6.19
-58.81,-1.94,6.35
-58.58,-1.69,6.81
-58.27,-1.36,7.44
-57.9,-0.99,8.14
-57.52,-0.67,8.82
-57.16,-0.46,9.38
-56.86,-0.36,9.78
-56.63,-0.32,9.98
-56.48,-0.3,9.95
-56.41,-0.27,9.73
-56.42,-0.21,9.38
-56.48,-0.13,8.96
-56.57,-0.03,8.53
-56.66,0.08,8.12
-56.74,0.18,7.78
-56.81,0.26,7.51
-56.86,0.31,7.34
-56.88,0.34,7.23
-56.87,0.34,7.17
-56.85,0.33,7.14
-56.81,0.29,7.12
-56.77,0.23,7.09
-56.75,0.17,7.05
-56.73,0.11,6.99
-56.74,0.06,6.9
-56.75,0.03,6.8
-56.78,0.02,6.69
-56.84,0.03,6.57
-56.9,0.04,6.45
-56.94,0.04,6.34
-56.96,0.03,6.22
-56.97,0.01,6.12
-56.95,-0.0,6.02
-56.92,-0.02,5.93
-56.9,-0.02,5.83
-56.87,-0.03,5.74
-56.85,-0.03,5.65
