yaw,pitch,roll
-97.18,-6.16,-35.71
-96.41,-5.77,-36.32
-95.57,-5.41,-36.81
-94.65,-5.07,-37.12
-93.66,-4.75,-37.21
-92.64,-4.44,-37.01
-91.61,-4.11,-36.49
-90.61,-3.74,-35.66
-89.59,-3.34,-34.56
-88.61,-2.9,-33.21
-44.54,-14.4,1.75
-44.52,-13.85,1.39
-44.42,-13.27,1.71
-44.28,-12.63,2.85
-44.09,-11.98,4.76
-43.82,-11.36,7.07
-43.45,-10.99,9.19
-43.07,-10.92,10.82
-42.77,-11.01,11.99
-42.67,-11.14,12.7
-42.84,-11.25,12.86
-43.26,-11.29,12.55
-43.83,-11.23,11.9
-44.46,-11.08,11.08
-45.08,-10.87,10.21
-45.64,-10.66,9.36
-46.1,-10.46,8.59
-46.45,-10.25,7.92
-46.66,-9.94,7.39
-46.73,-9.53,6.98
-46.68,-9.03,6.67
-46.56,-8.48,6.43
-46.38,-7.93,6.22
-46.19,-7.42,6.02
-45.98,-6.96,5.79
-45.78,-6.55,5.52
-45.6,-6.19,5.2
-45.45,-5.9,4.85
-45.33,-5.66,4.5
-45.23,-5.46,4.15
-45.13,-5.27,3.81
-45.07,-5.1,3.51
-45.01,-4.93,3.23
-44.99,-4.81,2.99
-45.72,-5.09,1.65
-45.72,-5.06,1.6
-45.71,-5.03,1.54
-45.72,-5.0,1.48
-45.73,-4.96,1.42
-45.73,-4.91,1.35
-45.73,-4.85,1.28
-45.72,-4.8,1.21
-45.69,-4.77,1.14
-45.67,-4.73,1.08
-45.65,-4.69,1.01
-45.64,-4.66,0.93
-45.63,-4.65,0.86
-45.61,-4.63,0.78
-45.6,-4.62,0.72
-45.6,-4.59,0.65
-45.6,-4.56,0.59
-45.62,-4.53,0.55
-45.65,-4.49,0.5
-45.68,-4.46,0.45
-45.69,-4.44,0.4
-45.69,-4.42,0.34
-45.69,-4.41,0.28
-45.68,-4.39,0.22
-45.67,-4.37,0.16
-45.66,-4.33,0.09
-45.66,-4.3,0.02
-45.66,-4.27,-0.04
-45.67,-4.23,-0.1
-45.67,-4.21,-0.16
-45.67,-4.18,-0.22
-45.66,-4.15,-0.28
-45.65,-4.12,-0.33
-45.65,-4.1,-0.38
-45.65,-4.09,-0.43
-45.65,-4.07,-0.49
-45.58,-3.3,-1.98
-45.57,-3.29,-2.01
-45.57,-3.27,-2.06
-45.57,-3.26,-2.09
-45.58,-3.24,-2.13
-45.58,-3.23,-2.17
-45.58,-3.21,-2.2
-45.57,-3.2,-2.23
-45.57,-3.19,-2.26
-45.58,-3.19,-2.28
-45.58,-3.18,-2.31
-45.58,-3.18,-2.33
-45.57,-3.16,-2.35
-45.57,-3.15,-2.36
-45.56,-3.15,-2.37
-45.55,-3.14,-2.39
-45.53,-3.14,-2.42
-45.53,-3.13,-2.44
-45.53,-3.12,-2.48
-45.53,-3.12,-2.52
