yaw,pitch,roll
-46.15,-9.37,-14.23
-45.77,-9.91,-15.43
-45.4,-10.47,-16.63
-45.05,-11.05,-17.8
-44.72,-11.63,-18.93
-44.39,-12.16,-20.01
-44.07,-12.62,-21.05
-43.77,-12.99,-22.02
-43.49,-13.31,-22.93
-43.24,-13.58,-23.74
-43.03,-13.85,-24.43
-42.85,-14.11,-25.0
-42.74,-14.38,-25.41
-42.68,-14.69,-25.66
-42.74,-15.07,-25.69
-42.91,-15.52,-25.48
-43.24,-16.02,-25.01
-43.74,-16.53,-24.27
-44.38,-17.03,-23.27
-45.17,-17.46,-22.05
-46.04,-17.8,-20.64
-47.02,-18.02,-19.06
-48.08,-18.15,-17.35
-49.25,-18.18,-15.58
-50.49,-18.11,-13.83
-51.75,-17.94,-12.19
-101.13,-11.0,-18.02
-100.81,-11.69,-19.97
-100.44,-12.32,-21.97
-99.99,-12.88,-24.01
-99.47,-13.36,-26.1
-98.83,-13.77,-28.23
-98.09,-14.09,-30.4
-97.25,-14.29,-32.6
-96.33,-14.4,-34.79
-95.26,-14.4,-36.95
-94.06,-14.32,-39.03
-92.69,-14.18,-40.97
-91.08,-14.05,-42.72
-89.28,-13.92,-44.19
-87.33,-13.81,-45.31
-85.33,-13.7,-46.03
-83.41,-13.6,-46.3
-81.65,-13.49,-46.13
-80.07,-13.37,-45.56
-78.64,-13.26,-44.63
-77.33,-13.17,-43.45
-76.12,-13.08,-42.09
-74.96,-12.97,-40.63
-73.85,-12.81,-39.1
-72.77,-12.58,-37.53
-71.75,-12.26,-35.92
-70.73,-11.83,-34.25
-47.64,-6.67,6.1
-47.85,-6.48,4.67
-48.02,-6.21,3.33
-48.15,-5.99,2.23
-48.28,-5.91,1.52
-48.41,-6.01,1.21
-48.5,-6.17,1.25
-48.53,-6.28,1.59
-48.49,-6.29,2.17
-48.38,-6.21,2.94
-48.25,-6.12,3.84
-48.14,-6.07,4.79
-48.04,-6.06,5.73
-47.96,-6.09,6.58
-47.88,-6.15,7.3
-47.84,-6.24,7.85
-47.81,-6.33,8.2
-47.84,-6.41,8.31
-47.89,-6.46,8.22
-47.96,-6.48,7.97
-48.06,-6.45,7.59
-48.17,-6.38,7.15
-48.3,-6.27,6.68
-48.42,-6.11,6.19
-48.53,-5.91,5.72
-48.6,-5.69,5.27
-48.63,-5.45,4.88
-48.62,-5.21,4.54
-48.56,-4.98,4.27
-48.46,-4.77,4.04
-48.33,-4.59,3.87
-48.18,-4.43,3.73
-48.02,-4.29,3.63
-47.87,-4.17,3.55
-47.75,-4.08,3.48
-47.67,-4.01,3.42
-47.77,-3.23,1.23
-47.79,-3.22,1.2
-47.8,-3.2,1.17
-47.81,-3.17,1.12
-47.81,-3.14,1.08
-47.8,-3.11,1.03
-47.79,-3.09,0.97
-47.77,-3.07,0.91
-47.75,-3.04,0.86
-47.74,-3.01,0.78
-47.72,-2.97,0.71
