yaw,pitch,roll
-56.85,-0.03,5.56
-57.17,-0.11,3.14
-57.17,-0.12,3.08
-57.17,-0.13,3.03
-57.18,-0.13,2.98
-57.18,-0.12,2.92
-57.17,-0.12,2.87
-57.16,-0.12,2.82
-57.13,-0.12,2.77
-57.12,-0.12,2.71
-57.11,-0.12,2.66
-57.13,-0.12,2.59
-57.15,-0.11,2.52
-57.17,-0.11,2.46
-57.2,-0.11,2.39
-57.21,-0.1,2.34
-57.22,-0.1,2.28
-57.22,-0.1,2.23
-57.21,-0.1,2.19
-57.2,-0.11,2.15
-57.2,-0.1,2.12
-57.2,-0.11,2.08
-57.21,-0.11,2.02
-57.23,-0.11,1.96
-57.26,-0.1,1.89
-57.28,-0.09,1.83
-57.29,-0.09,1.76
-57.3,-0.09,1.71
-57.3,-0.1,1.66
-57.3,-0.09,1.62
-57.29,-0.09,1.58
-57.28,-0.08,1.55
-57.28,-0.06,1.52
-57.27,-0.06,1.48
-57.27,-0.05,1.44
-57.29,-0.04,1.4
-57.29,-0.03,1.35
-57.29,-0.02,1.3
-57.34,-0.01,-0.08
-57.34,-0.01,-0.1
-57.35,-0.02,-0.12
-57.36,-0.03,-0.14
-57.37,-0.04,-0.16
-57.38,-0.05,-0.18
-57.39,-0.07,-0.21
-57.39,-0.09,-0.23
-57.39,-0.12,-0.24
-57.38,-0.15,-0.24
-57.38,-0.18,-0.24
-57.37,-0.22,-0.22
-57.37,-0.27,-0.2
-57.38,-0.32,-0.19
-57.41,-0.36,-0.17
-57.44,-0.41,-0.16
-57.47,-0.46,-0.15
-57.5,-0.51,-0.14
-57.51,-0.57,-0.13
-57.52,-0.66,-0.11
-57.53,-0.78,-0.07
-57.54,-0.95,-0.04
-57.57,-1.16,-0.01
-57.64,-1.42,0.01
-57.74,-1.72,0.0
-57.86,-2.08,-0.02
-57.98,-2.55,-0.04
-58.08,-3.12,-0.04
-58.16,-3.83,-0.02
-58.25,-4.66,-0.01
-58.38,-5.38,0.07
-58.59,-6.0,0.24
-58.85,-6.71,0.42
-59.17,-7.51,0.57
-71.92,-22.29,-5.18
-73.64,-21.82,-2.92
-75.36,-21.22,-0.82
-77.07,-20.5,0.97
-78.78,-19.76,2.38
-80.49,-19.04,3.47
-82.21,-18.33,4.37
-83.96,-17.59,5.2
-85.74,-16.79,6.04
-87.55,-15.98,6.97
-89.38,-15.18,8.05
-91.24,-14.39,9.24
-93.11,-13.64,10.47
-95.0,-12.93,11.69
-96.92,-12.24,12.86
-98.88,-11.54,13.96
-100.86,-10.79,14.95
-102.85,-9.96,15.78
-104.82,-9.08,16.39
-106.76,-8.24,16.78
-108.6,-7.59,16.89
-110.3,-7.19,16.71
-111.76,-7.01,16.22
-112.95,-7.07,15.39
-113.84,-7.32,14.22
-114.44,-7.66,12.73
-114.82,-8.07,10.98
-115.0,-8.58,9.02
