yaw,pitch,roll
-52.54,-1.23,14.92
-52.99,-1.24,13.63
-53.18,-1.31,12.3
-53.18,-1.34,11.04
-53.12,-1.26,9.84
-53.01,-1.14,8.72
-52.91,-0.93,7.78
-52.87,-0.51,7.29
-52.89,-0.06,7.2
-52.87,0.16,7.05
-52.81,0.07,6.6
-52.84,-0.16,6.01
-54.13,1.55,1.34
-54.1,1.46,1.31
-54.06,1.36,1.29
-54.04,1.25,1.28
-54.03,1.13,1.28
-54.06,1.02,1.27
-54.1,0.9,1.26
-54.14,0.79,1.24
-54.17,0.68,1.24
-54.2,0.57,1.23
-54.21,0.47,1.22
-54.2,0.38,1.21
-54.18,0.3,1.2
-54.15,0.23,1.19
-54.12,0.18,1.18
-54.12,0.14,1.15
-54.11,0.12,1.12
-54.12,0.12,1.06
-54.13,0.12,0.99
-54.13,0.12,0.91
-54.13,0.1,0.82
-54.11,0.08,0.73
-54.07,0.07,0.66
-54.02,0.06,0.59
-53.96,0.04,3.48
-46.21,5.45,3.31
-46.25,5.43,3.09
-46.29,5.41,2.86
-46.34,5.4,2.59
-46.39,5.42,2.32
-46.43,5.44,2.05
-46.45,5.47,1.81
-46.43,5.49,1.61
-45.38,3.32,-1.43
-45.35,3.3,-1.46
-45.33,3.29,-1.5
-45.32,3.28,-1.55
-45.31,3.26,-1.61
-45.3,3.25,-1.66
-45.28,3.23,-1.72
-45.27,3.2,-1.77
-45.25,3.18,-1.82
-45.23,3.16,-1.86
-45.22,3.13,-1.91
-45.22,3.1,-1.96
-45.2,3.07,-2.01
-45.2,3.04,-2.07
-45.21,3.0,-2.14
-45.22,2.96,-2.21
-45.24,2.93,-2.28
-45.28,2.9,-2.36
-45.31,2.86,-2.44
-45.34,2.81,-2.51
-45.37,2.76,-2.58
-45.39,2.72,-2.65
-45.4,2.67,-2.71
-45.39,2.62,-2.75
-45.38,2.58,-2.78
-45.35,2.51,-2.78
-45.31,2.4,-2.73
-45.27,2.22,-2.61
-45.21,1.95,-2.4
-45.15,1.57,-2.09
-45.05,1.07,-1.68
-44.96,0.41,-1.2
-44.91,-0.42,-0.64
-44.97,-1.42,-0.08
-45.11,-2.52,0.37
-45.36,-3.55,0.65
-45.7,-4.38,0.8
-101.47,-5.5,-12.14
-101.88,-5.77,-13.81
-102.25,-6.03,-15.45
-102.54,-6.33,-17.05
-102.77,-6.63,-18.61
-102.94,-6.9,-20.16
-103.04,-7.13,-21.7
-103.05,-7.31,-23.23
-102.94,-7.47,-24.72
-102.72,-7.59,-26.15
-102.35,-7.69,-27.5
-101.88,-7.72,-28.78
-101.32,-7.68,-30.0
-100.71,-7.56,-31.15
-100.06,-7.39,-32.24
-99.37,-7.16,-33.25
-98.66,-6.87,-34.17
-97.93,-6.54,-34.99
