yaw,pitch,roll
-89.3,-0.71,-0.06
-89.32,-0.69,-0.14
-89.35,-0.66,-0.21
-89.37,-0.63,-0.28
-89.4,-0.62,-0.34
-89.41,-0.59,-0.4
-89.42,-0.57,-0.44
-89.42,-0.55,-0.48
-89.41,-0.53,-0.5
-89.39,-0.51,-0.52
-89.38,-0.5,-0.53
-89.37,-0.49,-0.54
-89.36,-0.49,-0.55
-89.35,-0.49,-0.57
-89.35,-0.49,-0.6
-89.36,-0.51,-0.63
-89.37,-0.52,-0.67
-89.38,-0.53,-0.71
-89.39,-0.54,-0.75
-89.39,-0.54,-0.78
-89.39,-0.55,-0.81
-89.4,-0.56,-0.84
-89.42,-0.57,-0.87
-89.87,-0.33,-1.93
-89.87,-0.33,-1.96
-89.87,-0.34,-1.97
-89.86,-0.33,-1.99
-89.85,-0.32,-2.02
-89.84,-0.31,-2.03
-89.82,-0.29,-2.06
-89.81,-0.28,-2.08
-89.81,-0.28,-2.1
-89.8,-0.28,-2.12
-89.8,-0.27,-2.14
-89.8,-0.26,-2.16
-89.8,-0.25,-2.17
-89.8,-0.24,-2.18
-89.79,-0.23,-2.2
-98.16,0.5,2.91
-98.18,0.48,2.89
-98.19,0.47,2.85
-98.18,0.47,2.82
-98.17,0.48,2.77
-98.14,0.49,2.72
-98.12,0.51,2.67
-98.08,0.55,2.6
-97.54,0.33,1.64
-97.53,0.31,1.61
-97.52,0.3,1.58
-97.51,0.28,1.54
-97.5,0.29,1.51
-97.49,0.29,1.47
-97.47,0.31,1.43
-97.46,0.32,1.39
-97.45,0.33,1.36
-97.43,0.33,1.33
-97.42,0.33,1.3
-97.39,0.32,1.26
-97.37,0.32,1.24
-97.35,0.31,1.21
-97.34,0.3,1.18
-97.33,0.3,1.16
-97.32,0.29,1.13
-97.31,0.28,1.1
-97.31,0.28,1.07
-97.3,0.27,1.02
-97.28,0.27,0.99
-97.26,0.27,0.95
-97.24,0.26,0.93
-97.23,0.24,0.9
-97.22,0.23,0.87
-97.21,0.21,0.85
-97.21,0.21,0.82
-97.2,0.2,0.8
-97.19,0.19,0.78
-97.19,0.18,0.76
-97.19,0.18,0.74
-97.19,0.16,0.72
-97.18,0.15,0.69
-97.16,0.14,0.67
-97.14,0.12,0.64
-97.1,0.11,0.6
-97.06,0.1,0.57
-97.01,0.09,0.54
-96.97,0.08,0.5
-96.95,0.07,0.46
-96.93,0.05,0.41
-96.92,0.04,0.37
-95.91,-0.69,-0.45
-95.76,-0.74,-0.48
-95.57,-0.81,-0.53
-95.34,-0.88,-0.58
-95.06,-0.95,-0.64
-94.77,-1.02,-0.73
-94.45,-1.08,-0.83
-94.12,-1.13,-0.98
-93.79,-1.19,-1.15
-93.45,-1.22,-1.33
-93.11,-1.24,-1.52
-92.76,-1.24,-1.73
