yaw,pitch,roll
-54.2,-4.73,-8.95
-53.86,-4.53,-8.76
-53.56,-4.3,-8.59
-53.29,-4.09,-8.42
-53.06,-3.89,-8.25
-49.15,2.78,4.14
-49.12,3.13,4.2
-49.06,3.37,4.29
-48.98,3.5,4.36
-48.89,3.52,4.31
-48.75,3.44,4.08
-48.61,3.36,3.68
-48.46,3.35,3.13
-48.34,3.44,2.49
-48.22,3.58,1.84
-48.09,3.69,1.26
-47.96,3.76,0.8
-47.8,3.8,0.49
-47.62,3.87,0.34
-47.46,4.03,0.29
-47.31,4.27,0.31
-47.21,4.55,0.38
-47.14,4.84,0.47
-47.07,5.13,0.53
-47.03,5.4,0.56
-46.99,5.63,0.51
-46.96,5.8,0.4
-46.93,5.9,0.19
-46.9,5.94,-0.1
-46.89,5.96,-0.45
-46.88,5.98,-0.82
-46.85,6.01,-1.17
-46.81,6.06,-1.48
-46.75,6.12,-1.72
-46.69,6.17,-1.88
-46.62,6.21,-1.97
-46.56,6.2,-2.0
-46.51,6.17,-2.0
-46.47,6.12,-1.97
-46.42,6.03,-1.94
-46.38,5.92,-1.91
-46.34,5.76,-1.87
-46.31,5.57,-1.82
-46.31,5.36,-1.76
-46.31,5.16,-1.7
-45.13,1.55,-1.73
-44.83,1.33,-1.59
-44.47,1.08,-1.42
-44.02,0.8,-1.23
-43.49,0.46,-0.99
-42.85,0.08,-0.72
-42.13,-0.29,-0.42
-41.29,-0.39,-0.17
-40.38,-0.17,0.01
-39.43,0.09,0.14
-38.44,0.23,0.23
-37.43,0.24,0.27
-36.39,0.16,0.26
-35.31,0.02,0.17
-34.18,-0.17,0.01
-33.02,-0.35,-0.26
-31.86,-0.49,-0.64
-30.76,-0.59,-1.16
-29.79,-0.63,-1.84
-28.95,-0.59,-2.66
-28.24,-0.44,-3.58
-27.6,-0.19,-4.55
-26.97,0.14,-5.55
-26.3,0.58,-6.56
-25.62,1.11,-7.58
-24.97,1.68,-8.65
-24.45,2.19,-9.84
-24.12,2.53,-11.17
-24.11,2.65,-12.6
-24.57,2.5,-14.11
-25.77,1.98,-15.56
-28.05,0.97,-16.78
-31.76,-0.56,-17.48
-37.03,-2.41,-17.38
-43.79,-4.26,-16.26
-90.16,-2.07,-0.77
-90.11,-2.05,-0.84
-90.05,-2.02,-0.9
-89.98,-1.97,-0.96
-89.91,-1.92,-1.02
-89.84,-1.88,-1.07
-89.77,-1.88,-1.13
-89.73,-1.9,-1.2
-89.69,-1.95,-1.28
-89.66,-1.99,-1.36
-89.62,-2.03,-1.44
-89.6,-2.05,-1.52
-89.58,-2.06,-1.58
-89.58,-2.07,-1.63
-89.58,-2.05,-1.66
-89.58,-2.04,-1.68
-89.58,-2.01,-1.71
-89.57,-2.0,-1.72
-89.58,-1.99,-1.73
-89.6,-1.95,-1.73
