yaw,pitch,roll
-42.77,-0.09,-10.5
-48.12,-0.7,-10.51
-102.1,-0.74,3.1
-102.16,-0.86,3.11
-102.23,-0.99,3.13
-102.26,-1.12,3.15
-102.28,-1.25,3.18
-102.26,-1.37,3.2
-102.19,-1.5,3.2
-102.09,-1.65,3.2
-101.97,-1.8,3.2
-101.82,-1.97,3.18
-101.69,-2.13,3.14
-101.6,-2.2,3.08
-101.54,-2.23,3.01
-101.51,-2.23,2.95
-101.51,-2.25,2.9
-101.52,-2.29,2.86
-101.55,-2.32,2.83
-101.58,-2.34,2.79
-101.62,-2.36,2.76
-101.65,-2.4,2.74
-101.66,-2.45,2.73
-101.69,-2.49,2.71
-101.71,-2.52,2.68
-101.74,-2.53,2.64
-101.78,-2.52,2.59
-101.83,-2.5,2.55
-101.89,-2.5,2.5
-101.95,-2.5,2.47
-102.02,-2.53,2.44
-102.09,-2.57,2.41
-102.17,-2.61,2.38
-102.25,-2.64,2.37
-102.32,-2.67,2.37
-102.18,-2.51,0.97
-102.15,-0.82,0.61
-98.58,-0.81,0.56
-98.6,-0.79,0.49
-98.61,-0.78,0.43
-98.61,-0.77,0.37
-98.6,-0.76,0.3
-98.58,-0.75,0.24
-98.57,-0.72,0.2
-98.57,-0.71,0.16
-98.57,-0.69,0.13
-98.59,-0.67,0.1
-98.6,-0.64,0.07
-98.6,-0.63,0.04
-98.6,-0.61,0.01
-98.59,-0.6,-0.03
-98.58,-0.59,-0.06
-98.57,-0.57,-0.11
-98.56,-0.55,-0.15
-98.55,-0.52,-0.18
-98.59,-0.22,-1.04
-98.57,-0.21,-1.07
-98.55,-0.19,-1.1
-98.53,-0.18,-1.13
-98.5,-0.18,-1.16
-98.49,-0.18,-1.19
-98.48,-0.19,-1.23
-98.47,-0.19,-1.27
-98.47,-0.18,-1.32
-98.46,-0.17,-1.36
-98.45,-0.15,-1.41
-98.42,-0.13,-1.45
-98.37,-0.12,-1.5
-98.33,-0.12,-1.53
-98.29,-0.12,-1.58
-98.23,-0.12,-1.63
-98.18,-0.13,-1.68
-98.15,-0.13,-1.72
-98.11,-0.12,-1.76
-98.07,-0.1,-1.8
-98.05,-0.08,-1.83
-98.01,-0.07,-1.85
-97.98,-0.06,-1.89
-97.95,-0.05,-1.92
-97.93,-0.04,-1.95
-97.92,-0.02,-1.99
-97.91,-0.01,-2.02
-97.91,0.01,-2.05
-97.91,0.02,-2.08
-97.91,0.03,-2.11
-97.91,0.05,-2.15
-97.9,0.07,-2.18
-97.87,0.11,-2.21
-97.85,-0.08,-2.75
-97.87,-0.09,-2.78
-97.88,-0.08,-2.79
-97.89,-0.08,-2.8
-97.89,-0.08,-2.81
-97.87,-0.08,-2.82
-97.86,-0.07,-2.82
-97.82,-0.06,-2.83
-97.8,-0.07,-2.85
-97.8,-0.08,-2.85
-97.81,-0.1,-2.86
-97.84,-0.11,-2.87
