yaw,pitch,roll
-38.84,2.06,-4.53
-38.44,2.21,-4.5
-38.01,2.31,-4.52
-37.59,2.34,-4.57
-37.19,2.34,-4.63
-28.38,0.36,-2.29
-30.47,-0.12,-2.23
-32.95,-0.72,-2.03
-35.77,-1.4,-1.69
-38.92,-2.07,-1.2
-42.4,-2.68,-0.63
-46.14,-3.15,-0.01
-50.1,-3.44,0.61
-54.2,-3.53,1.2
-58.39,-3.47,1.74
-62.65,-3.3,2.2
-66.94,-3.08,2.57
-71.24,-2.83,2.88
-75.51,-2.61,3.13
-79.73,-2.47,3.34
-83.8,-2.46,3.52
-87.67,-2.61,3.69
-91.28,-2.91,3.88
-94.59,-3.24,4.06
-97.52,-3.49,4.25
-100.04,-3.57,4.42
-102.1,-3.54,4.55
-103.66,-3.43,4.65
-104.73,-3.31,4.79
-105.39,-3.26,4.97
-105.71,-3.26,5.19
-105.76,-3.32,5.4
-105.62,-3.37,5.56
-105.31,-3.38,5.67
-104.89,-3.31,5.73
-104.41,-3.21,5.77
-103.87,-3.05,5.8
-103.35,-2.85,5.83
-102.85,-2.66,5.87
-98.53,-1.48,5.16
-98.41,-1.51,5.49
-98.32,-1.58,5.8
-98.23,-1.71,6.07
-98.11,-1.91,6.28
-97.92,-2.16,6.41
-97.61,-2.44,6.48
-97.1,-2.71,6.46
-96.34,-2.96,6.37
-95.23,-3.19,6.22
-93.77,-3.37,6.03
-91.99,-3.5,5.82
-89.93,-3.61,5.62
-87.64,-3.71,5.41
-85.19,-3.83,5.23
-82.62,-3.96,5.06
-80.0,-4.13,4.89
-77.41,-4.33,4.71
-74.9,-4.55,4.47
-72.53,-4.75,4.17
-70.33,-4.93,3.8
-68.28,-5.1,3.38
-66.39,-5.28,2.92
-64.67,-5.51,2.47
-63.09,-5.78,2.06
-61.66,-6.08,1.67
-60.34,-6.42,1.34
-59.11,-6.78,1.08
-57.95,-7.17,0.91
-56.86,-7.62,0.82
-55.81,-8.11,0.84
-54.85,-8.64,0.96
-53.96,-9.18,1.21
-53.18,-9.68,1.57
-52.51,-10.13,2.04
-51.95,-10.5,2.6
-51.51,-10.76,3.23
-50.09,0.38,-4.18
-49.83,0.34,-3.57
-49.56,0.17,-2.96
-49.28,-0.1,-2.39
-49.02,-0.4,-1.89
-48.8,-0.7,-1.49
-48.63,-0.98,-1.18
-48.52,-1.24,-0.97
-48.47,-1.47,-0.83
-48.48,-1.68,-0.74
-48.54,-1.85,-0.69
-48.65,-1.99,-0.67
-48.77,-2.09,-0.67
-48.91,-2.14,-0.66
-49.04,-2.14,-0.68
-49.17,-2.09,-0.72
-49.28,-1.99,-0.77
-49.37,-1.86,-0.86
-49.42,-1.72,-0.95
-49.43,-1.61,-1.05
-49.41,-1.51,-1.15
-49.36,-1.43,-1.26
-49.3,-1.35,-1.37
-49.25,-1.3,-1.48
