yaw,pitch,roll
-89.63,-1.91,-1.72
-89.66,-1.85,-1.72
-89.69,-1.82,-1.71
-89.72,-1.79,-1.71
-89.74,-1.75,-1.71
-89.75,-1.72,-1.73
-89.76,-1.69,-1.76
-89.76,-1.67,-1.82
-89.76,-1.65,-1.89
-89.75,-1.65,-1.97
-89.74,-1.64,-2.06
-89.74,-1.63,-2.14
-89.76,-1.62,-2.22
-89.59,-1.04,-4.0
-89.58,-1.03,-4.05
-89.58,-1.02,-4.1
-89.6,-1.0,-4.17
-89.61,-1.0,-4.22
-89.65,-0.99,-4.27
-89.69,-0.98,-4.3
-89.72,-0.97,-4.34
-89.74,-0.95,-4.38
-89.76,-0.94,-4.42
-89.78,-0.93,-4.46
-89.79,-0.92,-4.49
-89.82,-0.93,-4.51
-89.85,-0.96,-4.52
-89.88,-1.0,-4.53
-89.9,-1.04,-4.54
-89.91,-1.08,-4.56
-89.92,-1.12,-4.58
-89.92,-1.15,-4.6
-89.91,-1.18,-4.63
-89.9,-1.19,-4.67
-89.89,-1.18,-4.72
-82.75,0.01,-6.07
-82.78,0.01,-6.11
-82.81,0.01,-6.14
-83.17,-0.06,-7.6
-83.21,-0.06,-7.64
-83.25,-0.05,-7.67
-83.28,-0.04,-7.71
-83.3,-0.03,-7.74
-83.3,-0.02,-7.77
-83.29,-0.03,-7.79
-83.28,-0.04,-7.82
-83.25,-0.06,-7.84
-83.24,-0.08,-7.88
-83.22,-0.11,-7.92
-83.21,-0.14,-7.97
-83.22,-0.15,-8.03
-83.21,-0.17,-8.09
-83.21,-0.18,-8.15
-83.21,-0.19,-8.22
-83.2,-0.2,-8.29
-83.18,-0.21,-8.36
-83.16,-0.21,-8.43
-83.14,-0.21,-8.5
-83.13,-0.21,-8.56
-83.12,-0.2,-8.62
-83.13,-0.18,-8.67
-83.13,-0.17,-8.72
-83.13,-0.15,-8.77
-83.13,-0.13,-8.81
-83.13,-0.11,-8.83
-83.14,-0.1,-8.85
-83.14,-0.09,-8.86
-83.13,-0.1,-8.87
-83.13,-0.09,-8.9
-83.13,-0.07,-8.93
-83.11,-0.07,-8.98
-83.11,-0.07,-9.01
-91.11,-3.72,-7.68
-91.62,-3.82,-7.4
-92.04,-3.91,-7.15
-92.38,-4.0,-6.94
-92.67,-4.08,-6.74
-92.91,-4.13,-6.57
-93.12,-4.14,-6.43
-93.28,-4.1,-6.3
-93.39,-4.05,-6.18
-93.46,-3.97,-6.08
-93.5,-3.91,-5.99
-93.52,-3.86,-5.94
-93.54,-3.83,-5.91
-93.57,-3.81,-5.92
-93.64,-3.76,-5.96
-93.77,-3.71,-6.03
-93.95,-3.69,-6.11
-94.18,-3.72,-6.18
-94.45,-3.78,-6.25
-94.71,-3.86,-6.27
-94.98,-3.93,-6.26
-95.23,-4.0,-6.24
-95.49,-4.06,-6.21
-95.77,-4.13,-6.16
-96.09,-4.21,-6.12
-96.42,-4.29,-6.09
-96.74,-4.35,-6.05
-97.06,-4.4,-6.03
