yaw,pitch,roll
-45.56,3.42,-0.76
-45.36,3.11,-1.3
-42.64,4.13,-4.7
-42.65,4.14,-4.79
-42.66,4.14,-4.87
-42.67,4.14,-4.93
-42.69,4.14,-4.99
-42.7,4.13,-5.04
-42.72,4.11,-5.08
-42.73,4.08,-5.11
-42.74,4.04,-5.15
-42.75,4.0,-5.18
-42.74,3.96,-5.2
-42.74,3.92,-5.23
-42.74,3.88,-5.25
-42.74,3.84,-5.27
-42.74,3.8,-5.28
-42.74,3.76,-5.3
-42.74,3.72,-5.32
-42.75,3.69,-5.34
-42.75,3.66,-5.36
-42.75,3.63,-5.38
-42.76,3.6,-5.4
-42.76,3.57,-5.42
-42.75,3.53,-5.44
-42.74,3.51,-5.45
-42.73,3.48,-5.47
-42.72,3.46,-5.48
-42.72,3.44,-5.5
-42.7,3.41,-5.51
-42.7,3.39,-5.52
-42.71,3.36,-5.54
-42.71,3.34,-5.56
-42.71,3.31,-5.57
-42.71,3.28,-5.59
-42.73,3.24,-5.62
-42.73,3.22,-5.63
-42.73,3.18,-5.65
-42.74,3.15,-5.65
-41.94,2.19,-5.19
-41.86,2.1,-5.06
-41.81,2.01,-4.92
-41.78,1.92,-4.79
-41.77,1.83,-4.67
-41.77,1.75,-4.55
-41.77,1.64,-4.44
-41.75,1.51,-4.32
-41.73,1.37,-4.19
-41.68,1.22,-4.05
-41.58,1.08,-3.91
-41.42,0.93,-3.74
-41.21,0.77,-3.52
-40.94,0.54,-3.26
-40.63,0.25,-2.96
-40.3,-0.03,-2.62
-39.93,-0.2,-2.28
-39.5,-0.07,-2.0
-39.01,0.18,-1.75
-38.47,0.39,-1.48
-37.84,0.52,-1.21
-37.1,0.62,-0.94
-36.2,0.7,-0.7
-35.14,0.79,-0.51
-33.88,0.93,-0.35
-32.41,1.15,-0.2
-30.74,1.44,-0.03
-28.84,1.81,0.17
-26.71,2.25,0.39
-24.4,2.75,0.61
-21.96,3.28,0.8
-19.45,3.8,0.96
-16.98,4.28,1.06
-14.67,4.73,1.01
-12.63,5.19,0.75
-10.96,5.65,0.23
-9.79,6.09,-0.6
-92.27,-0.81,4.12
-92.13,-0.72,4.1
-91.97,-0.62,4.09
-91.8,-0.54,4.07
-91.62,-0.47,4.03
-91.44,-0.42,3.95
-91.26,-0.37,3.81
-91.09,-0.31,3.61
-90.94,-0.27,3.38
-90.8,-0.24,3.11
-90.68,-0.2,2.83
-90.59,-0.16,2.56
-90.52,-0.13,2.32
-90.44,-0.13,2.12
-90.38,-0.12,1.96
-90.33,-0.12,1.85
-90.29,-0.12,1.77
-90.26,-0.13,1.7
-90.24,-0.15,1.65
-90.25,-0.18,1.61
-90.26,-0.22,1.58
-90.26,-0.27,1.55
-90.26,-0.32,1.53
-90.23,-0.36,1.51
