yaw,pitch,roll
-90.18,-0.4,1.5
-90.11,-0.43,1.48
-90.02,-0.44,1.45
-89.93,-0.44,1.42
-89.84,-0.42,1.4
-89.73,-0.4,1.37
-89.63,-0.38,1.35
-89.54,-0.36,1.32
-89.47,-0.35,1.29
-89.41,-0.36,1.26
-89.37,-0.36,1.21
-89.34,-0.37,1.17
-89.33,-0.37,1.13
-88.43,-0.27,-0.87
-88.42,-0.26,-0.9
-88.41,-0.27,-0.93
-88.41,-0.28,-0.96
-88.41,-0.29,-0.99
-88.41,-0.3,-1.03
-88.4,-0.29,-1.06
-88.39,-0.28,-1.1
-88.38,-0.28,-1.13
-88.36,-0.29,-1.16
-88.35,-0.29,-1.19
-88.34,-0.28,-1.21
-88.32,-0.27,-1.23
-88.31,-0.24,-1.26
-88.3,-0.21,-1.29
-88.29,-0.2,-1.33
-88.28,-0.2,-1.36
-88.27,-0.2,-1.39
-88.26,-0.2,-1.43
-88.27,-0.19,-1.46
-88.26,-0.19,-1.5
-88.27,-0.19,-1.52
-88.28,-0.19,-1.55
-88.28,-0.19,-1.58
-88.27,-0.18,-1.61
-88.25,-0.17,-1.63
-88.23,-0.16,-1.66
-94.64,0.27,-2.43
-94.64,0.27,-2.47
-94.65,0.26,-2.51
-94.66,0.26,-2.56
-94.66,0.27,-2.61
-94.66,0.28,-2.65
-94.66,0.31,-2.7
-94.65,0.32,-2.74
-94.64,0.33,-2.78
-94.64,0.32,-2.8
-94.64,0.31,-2.84
-94.65,0.3,-2.86
-94.66,0.3,-2.87
-94.67,0.31,-2.87
-94.67,0.32,-2.87
-94.67,0.32,-2.89
-94.66,0.31,-2.92
-94.65,0.29,-2.96
-94.64,0.28,-3.0
-94.63,0.28,-3.05
-94.63,0.28,-3.09
-94.62,0.28,-3.12
-94.61,0.27,-3.16
-94.61,0.27,-3.18
-94.61,0.27,-3.2
-94.61,0.27,-3.22
-94.61,0.27,-3.23
-94.6,0.27,-3.25
-94.59,0.27,-3.27
-94.58,0.27,-3.31
-94.57,0.27,-3.34
-94.56,0.27,-3.37
-94.55,0.27,-3.39
-94.55,0.28,-3.42
-94.54,0.29,-3.43
-94.11,0.03,-4.27
-94.1,0.02,-4.29
-94.1,0.01,-4.31
-94.11,-0.0,-4.33
-94.12,0.0,-4.36
-94.13,0.01,-4.38
-94.15,0.01,-4.41
-94.17,0.02,-4.43
-94.19,0.01,-4.44
-94.21,0.0,-4.45
-94.23,-0.02,-4.45
-94.25,-0.03,-4.46
-94.25,-0.04,-4.46
-94.27,-0.04,-4.47
-94.28,-0.04,-4.48
-94.28,-0.04,-4.5
-94.29,-0.04,-4.52
-94.29,-0.05,-4.55
-94.3,-0.04,-4.57
-94.31,-0.04,-4.59
-94.32,-0.04,-4.6
-94.32,-0.06,-4.61
-94.32,-0.06,-4.61
-94.33,-0.05,-4.61
-94.33,-0.04,-4.62
