yaw,pitch,roll
-102.67,-4.06,-2.7
-102.67,-4.02,-2.74
-102.67,-3.99,-2.79
-102.68,-3.96,-2.84
-102.71,-3.95,-2.89
-102.75,-3.93,-2.94
-102.81,-3.91,-2.98
-102.86,-3.89,-3.01
-102.92,-3.86,-3.04
-102.96,-3.84,-3.07
-103.0,-3.82,-3.09
-103.01,-3.81,-3.11
-103.02,-3.79,-3.12
-103.03,-3.76,-3.13
-103.04,-3.73,-3.15
-103.03,-3.69,-3.18
-103.03,-3.65,-3.2
-103.02,-3.61,-3.23
-103.02,-3.56,-3.26
-102.73,-2.76,-3.28
-102.73,-2.76,-3.29
-102.74,-2.76,-3.31
-102.74,-2.75,-3.33
-102.74,-2.75,-3.35
-102.75,-2.76,-3.38
-102.74,-2.75,-3.4
-102.73,-2.75,-3.41
-102.71,-2.75,-3.42
-102.69,-2.73,-3.44
-102.66,-2.72,-3.46
-102.63,-2.71,-3.48
-102.58,-2.68,-3.51
-102.54,-2.66,-3.52
-102.51,-2.63,-3.52
-102.47,-2.59,-3.5
-102.45,-2.55,-3.46
-102.43,-2.51,-3.42
-102.4,-2.48,-3.37
-102.35,-2.47,-3.32
-102.27,-2.47,-3.26
-102.17,-2.48,-3.18
-102.03,-2.5,-3.08
-101.86,-2.53,-2.98
-101.66,-2.55,-2.89
-101.45,-2.58,-2.82
-101.2,-2.61,-2.78
-100.92,-2.65,-2.78
-100.58,-2.71,-2.82
-68.07,-9.21,-11.58
-67.08,-9.36,-11.47
-66.15,-9.49,-11.36
-65.24,-9.61,-11.26
-64.4,-9.7,-11.17
-63.61,-9.76,-11.08
-62.86,-9.8,-11.0
-62.14,-9.81,-10.91
-61.47,-9.79,-10.84
-60.83,-9.75,-10.77
-60.24,-9.69,-10.69
-59.7,-9.62,-10.58
-59.21,-9.53,-10.43
-58.76,-9.42,-10.24
-58.34,-9.29,-10.01
-57.91,-9.15,-9.76
-57.5,-9.0,-9.49
-57.08,-8.84,-9.22
-56.66,-8.66,-8.99
-56.22,-8.47,-8.8
-55.79,-8.26,-8.64
-55.35,-8.07,-8.51
-54.94,-7.89,-8.36
-54.58,-7.7,-8.19
-54.27,-7.51,-7.99
-54.02,-7.3,-7.79
-53.8,-7.08,-7.58
-53.6,-6.83,-7.37
-53.39,-6.57,-7.19
-53.16,-6.31,-6.99
-52.9,-6.08,-6.77
-52.61,-5.88,-6.57
-50.79,1.82,3.48
-50.74,2.05,3.49
-50.72,2.45,3.56
-50.73,2.85,3.83
-50.76,3.06,4.14
-50.75,3.04,4.25
-50.67,2.81,4.1
-50.56,2.47,3.72
-50.45,2.19,3.17
-50.32,2.04,2.5
-50.14,2.02,1.79
-49.93,2.07,1.15
-49.68,2.13,0.67
-49.42,2.18,0.37
-49.14,2.24,0.26
-48.87,2.34,0.31
-48.6,2.5,0.47
-48.34,2.73,0.67
-48.11,3.01,0.89
-47.91,3.32,1.11
