yaw,pitch,roll
-51.09,-0.81,8.39
-50.89,-0.68,8.34
-50.79,-0.51,8.17
-50.76,-0.32,7.87
-50.79,-0.1,7.48
-50.87,0.14,7.05
-50.97,0.38,6.6
-51.07,0.6,6.14
-51.16,0.79,5.69
-51.22,0.96,5.27
-51.26,1.1,4.91
-51.24,1.22,4.59
-51.21,1.31,4.34
-51.14,1.4,4.15
-51.07,1.49,4.0
-50.98,1.55,3.91
-50.9,1.59,3.87
-50.81,1.61,3.86
-50.74,1.63,3.87
-50.67,1.62,3.88
-50.6,1.62,3.91
-50.55,1.58,3.93
-50.52,1.53,3.92
-50.29,0.78,1.33
-50.27,0.79,1.28
-46.71,1.15,9.52
-46.69,1.05,9.3
-46.86,0.98,8.9
-47.16,0.96,8.39
-47.56,1.01,7.81
-47.99,1.12,7.21
-48.42,1.28,6.64
-48.82,1.46,6.12
-49.15,1.64,5.67
-49.39,1.81,5.32
-49.53,1.94,5.05
-49.54,2.06,4.84
-48.82,1.53,1.7
-48.83,1.51,1.64
-48.84,1.49,1.57
-48.86,1.48,1.49
-48.86,1.46,1.41
-48.87,1.44,1.34
-48.86,1.42,1.27
-48.85,1.41,1.22
-48.82,1.41,1.19
-48.79,1.42,1.16
-48.76,1.42,1.14
-48.74,1.42,1.12
-48.71,1.43,1.1
-48.67,1.43,1.07
-48.66,1.42,1.03
-48.66,1.41,0.97
-48.68,1.4,0.89
-48.7,1.4,0.8
-48.72,1.39,0.71
-48.73,1.37,0.63
-48.74,1.35,0.56
-48.74,1.34,0.5
-48.74,1.33,0.45
-48.74,1.32,0.4
-48.73,1.31,0.37
-48.71,1.3,0.33
-48.7,1.28,0.3
-48.68,1.26,0.27
-48.66,1.24,0.23
-48.65,1.23,0.2
-48.65,1.21,0.16
-48.65,1.19,0.12
-48.64,1.18,0.07
-48.64,1.16,0.04
-48.63,1.14,-0.01
-48.63,1.12,-0.06
-48.63,1.11,-0.12
-48.63,1.11,-0.17
-48.63,1.1,-0.22
-48.63,1.11,-0.29
-48.63,1.11,-0.33
-48.71,0.87,-1.59
-48.72,0.86,-1.64
-48.73,0.87,-1.68
-48.74,0.87,-1.72
-48.74,0.87,-1.75
-48.74,0.88,-1.77
-48.75,0.89,-1.78
-48.75,0.89,-1.79
-48.76,0.9,-1.81
-48.78,0.9,-1.83
-48.8,0.88,-1.85
-48.82,0.87,-1.86
-48.83,0.85,-1.88
-48.85,0.83,-1.91
-48.88,0.81,-1.93
-48.9,0.79,-1.96
-48.93,0.76,-1.99
-48.96,0.74,-2.03
-48.98,0.73,-2.06
-48.99,0.71,-2.08
-49.0,0.69,-2.11
-49.0,0.67,-2.14
