yaw,pitch,roll
-41.67,3.08,-4.11
-41.66,3.04,-4.15
-41.66,3.0,-4.18
-41.64,2.95,-4.19
-41.61,2.91,-4.2
-41.58,2.86,-4.22
-41.56,2.83,-4.24
-41.55,2.78,-4.26
-41.55,2.73,-4.29
-41.55,2.68,-4.31
-41.56,2.63,-4.35
-41.57,2.6,-4.4
-41.58,2.58,-4.44
-41.59,2.54,-4.48
-41.6,2.5,-4.51
-41.59,2.47,-4.54
-41.59,2.44,-4.57
-41.58,2.41,-4.6
-41.57,2.39,-4.62
-41.56,2.37,-4.65
-41.55,2.35,-4.68
-41.54,2.34,-4.72
-41.54,2.32,-4.76
-41.53,2.3,-4.79
-41.53,2.27,-4.83
-41.52,2.24,-4.87
-41.51,2.21,-4.91
-41.51,2.18,-4.94
-41.4,1.51,-5.85
-41.4,1.49,-5.88
-41.39,1.48,-5.92
-41.38,1.46,-5.94
-41.37,1.44,-5.97
-41.36,1.42,-5.98
-41.35,1.4,-6.0
-41.34,1.39,-6.01
-41.33,1.38,-6.02
-41.32,1.37,-6.03
-41.3,1.38,-6.02
-41.27,1.42,-6.02
-41.23,1.49,-6.03
-41.13,1.58,-6.0
-40.98,1.66,-5.93
-40.76,1.74,-5.8
-40.43,1.8,-5.61
-39.98,1.82,-5.32
-39.35,1.77,-4.91
-38.52,1.65,-4.37
-37.44,1.43,-3.69
-36.1,1.06,-2.85
-34.49,0.47,-1.9
-32.69,-0.36,-0.86
-30.71,-1.05,-0.05
-28.72,-0.84,0.35
-26.97,0.03,0.4
-25.5,1.13,0.13
-24.19,2.22,-0.42
-22.98,3.08,-1.15
-21.85,3.56,-1.92
-20.89,3.67,-2.65
-20.16,3.45,-3.36
-19.71,2.97,-4.09
-19.58,2.31,-4.86
-19.83,1.53,-5.71
-20.44,0.65,-6.61
-102.64,1.92,-1.64
-102.83,1.93,-1.71
-102.99,1.95,-1.76
-103.11,1.97,-1.78
-103.18,1.98,-1.78
-103.18,1.98,-1.76
-103.12,1.99,-1.73
-103.01,2.0,-1.7
-102.88,2.0,-1.69
-102.73,2.01,-1.68
-102.56,2.04,-1.66
-102.41,2.07,-1.64
-102.25,2.09,-1.6
-102.07,2.07,-1.56
-101.88,2.02,-1.51
-101.66,1.91,-1.44
-101.42,1.75,-1.36
-101.17,1.55,-1.25
-100.91,1.32,-1.13
-100.66,1.06,-1.0
-100.43,0.76,-0.87
-100.23,0.47,-0.75
-100.07,0.2,-0.66
-99.95,-0.02,-0.61
-99.88,-0.19,-0.6
-99.85,-0.34,-0.62
-99.84,-0.47,-0.65
-99.85,-0.62,-0.68
-99.87,-0.78,-0.68
-99.86,-0.95,-0.67
-99.83,-1.11,-0.64
-99.78,-1.26,-0.59
-99.71,-1.39,-0.54
-99.65,-1.52,-0.5
-97.83,-1.92,-1.69
