yaw,pitch,roll
-71.07,-3.2,-13.06
-71.33,-3.36,-13.11
-71.63,-3.55,-13.16
-71.94,-3.78,-13.22
-72.29,-4.03,-13.25
-72.66,-4.32,-13.29
-73.09,-4.65,-13.32
-73.56,-5.0,-13.34
-74.09,-5.38,-13.37
-74.68,-5.77,-13.41
-75.32,-6.2,-13.47
-76.04,-6.65,-13.55
-76.85,-7.11,-13.64
-77.76,-7.6,-13.77
-78.74,-8.09,-13.91
-79.8,-8.6,-14.06
-80.92,-9.12,-14.22
-82.14,-9.66,-14.37
-83.43,-10.21,-14.55
-84.82,-10.76,-14.76
-86.33,-11.3,-14.95
-87.98,-11.81,-15.16
-89.75,-12.33,-15.34
-91.67,-12.84,-15.45
-93.7,-13.36,-15.47
-95.77,-13.86,-15.38
-97.87,-14.35,-15.12
-1.57,-9.65,3.44
-1.05,-9.29,3.81
-0.59,-8.94,4.14
-0.21,-8.65,4.42
0.09,-8.39,4.67
0.29,-8.15,4.85
0.38,-7.91,4.99
0.35,-7.74,5.14
0.23,-7.63,5.3
0.03,-7.57,5.45
-0.24,-7.57,5.57
-0.56,-7.6,5.63
-0.92,-7.61,5.62
-1.3,-7.59,5.53
-1.67,-7.54,5.37
-2.0,-7.49,5.15
-2.27,-7.42,4.87
-2.51,-7.32,4.57
-2.71,-7.19,4.26
-2.86,-7.05,3.96
-2.97,-6.92,3.69
-3.05,-6.82,3.49
-3.12,-6.76,3.35
-3.21,-6.71,3.25
-3.3,-6.67,3.18
-3.42,-6.62,3.11
-3.53,-6.57,3.02
-3.66,-6.53,2.91
-3.79,-6.51,2.78
-3.92,-6.49,2.64
-4.06,-6.48,2.49
-4.2,-6.49,2.33
-4.34,-6.52,2.17
-4.47,-6.54,2.02
-4.6,-6.55,1.91
-4.71,-6.56,1.82
-4.82,-6.55,1.76
-4.93,-6.53,1.69
-5.04,-6.48,1.61
-5.17,-6.44,1.55
-5.3,-6.42,1.52
-5.44,-6.42,1.5
-6.62,-5.74,-1.07
-6.6,-5.73,-1.14
-6.57,-5.72,-1.21
-6.54,-5.71,-1.28
-6.52,-5.69,-1.36
-6.49,-5.66,-1.43
-6.48,-5.63,-1.51
-6.47,-5.59,-1.57
-6.46,-5.54,-1.63
-6.47,-5.5,-1.68
-6.48,-5.46,-1.72
-6.5,-5.44,-1.76
-6.51,-5.41,-1.78
-6.53,-5.38,-1.81
-6.53,-5.35,-1.86
-6.54,-5.33,-1.9
-6.54,-5.31,-1.96
-6.55,-5.29,-2.03
-6.54,-5.28,-2.1
-6.54,-5.27,-2.16
-6.53,-5.26,-2.23
-6.52,-5.26,-2.29
-6.52,-5.25,-2.35
-6.52,-5.23,-2.39
-6.52,-5.19,-2.44
-6.51,-5.15,-2.49
-6.51,-5.1,-2.54
-6.51,-5.05,-2.59
-6.51,-5.01,-2.64
-6.51,-4.96,-2.69
-6.52,-4.92,-2.74
