yaw,pitch,roll
-19.74,-2.78,-14.01
-19.75,-2.79,-14.03
-19.76,-2.82,-14.05
-19.78,-2.85,-14.07
-19.79,-2.87,-14.1
-19.8,-2.89,-14.14
-19.81,-2.9,-14.19
-19.81,-2.9,-14.24
-19.8,-2.91,-14.28
-16.09,-2.95,-14.36
-15.79,-2.97,-14.37
-15.48,-2.98,-14.37
-15.17,-2.98,-14.36
-14.87,-2.97,-14.35
-14.56,-2.95,-14.34
-14.25,-2.91,-14.32
-13.93,-2.84,-14.31
-13.61,-2.76,-14.3
-13.29,-2.66,-14.27
-12.98,-2.55,-14.21
-12.66,-2.41,-14.14
-12.36,-2.28,-14.05
-12.07,-2.14,-13.95
-11.79,-2.01,-13.86
-11.55,-1.87,-13.77
-11.34,-1.75,-13.71
-11.17,-1.64,-13.66
-11.02,-1.54,-13.64
-10.93,-1.46,-13.65
-10.86,-1.42,-13.68
-10.82,-1.4,-13.74
-10.84,-1.45,-13.82
-10.89,-1.53,-13.92
-11.0,-1.63,-14.03
-11.14,-1.77,-14.16
-11.33,-1.92,-14.32
-11.54,-2.08,-14.5
-11.78,-2.26,-14.69
-12.05,-2.46,-14.88
-33.4,-3.75,-22.89
-34.21,-3.53,-22.87
-35.08,-3.3,-22.79
-35.98,-3.07,-22.7
-36.94,-2.85,-22.58
-37.94,-2.6,-22.47
-38.96,-2.35,-22.36
-39.98,-2.1,-22.25
-41.01,-1.86,-22.12
-42.03,-1.63,-21.98
-43.05,-1.42,-21.82
-44.08,-1.26,-21.63
-45.13,-1.13,-21.4
-46.21,-1.06,-21.16
-47.34,-1.04,-20.88
-48.53,-1.04,-20.62
-49.79,-1.05,-20.38
-51.15,-1.04,-20.16
-52.59,-0.98,-19.93
-54.11,-0.94,-19.72
-55.66,-0.95,-19.56
-57.25,-1.0,-19.44
-58.82,-1.12,-19.36
-60.34,-1.33,-19.31
-61.82,-1.65,-19.27
-63.2,-2.12,-19.25
-64.53,-2.7,-19.25
-65.79,-3.35,-19.25
-67.05,-4.0,-19.25
-102.12,-15.34,-16.08
-103.56,-15.67,-15.34
-104.97,-15.98,-14.46
-106.29,-16.2,-13.52
-107.45,-16.24,-12.56
-108.37,-16.11,-11.66
-108.99,-15.85,-10.88
-109.22,-15.49,-10.23
-109.03,-15.1,-9.72
-108.44,-14.69,-9.29
-107.53,-14.21,-8.88
-106.31,-13.62,-8.45
-104.79,-12.91,-7.96
-102.91,-12.1,-7.34
-100.63,-11.19,-6.47
-97.86,-10.15,-5.29
-94.56,-8.93,-3.74
-90.61,-7.6,-1.78
-85.96,-6.25,0.57
-80.5,-5.01,3.29
-74.22,-4.07,6.22
-67.18,-3.65,9.19
-59.55,-3.95,12.02
-51.67,-5.09,14.47
-44.01,-6.98,16.24
-37.02,-9.13,17.18
-30.94,-10.97,17.25
-25.9,-12.11,16.58
-21.88,-12.54,15.31
-1.36,-3.43,9.14
-1.31,-3.43,9.02
-1.28,-3.42,8.85
