yaw,pitch,roll
-63.95,3.51,-18.63
-64.6,3.84,-18.57
-65.21,4.15,-18.51
-65.77,4.42,-18.44
-66.3,4.66,-18.35
-66.76,4.85,-18.23
-67.16,5.01,-18.06
-67.5,5.16,-17.83
-67.77,5.31,-17.54
-67.99,5.47,-17.2
-68.16,5.65,-16.85
-68.31,5.84,-16.48
-68.3,2.51,-8.04
-68.34,2.4,-8.03
-68.37,2.32,-8.04
-68.38,2.25,-8.06
-68.38,2.17,-8.06
-68.36,2.09,-8.06
-68.33,2.0,-8.03
-68.29,1.91,-7.99
-68.26,1.82,-7.94
-68.23,1.74,-7.9
-68.21,1.68,-7.88
-68.19,1.62,-7.88
-68.16,1.57,-7.89
-68.14,1.53,-7.94
-68.1,1.47,-7.98
-68.06,1.42,-8.04
-68.03,1.36,-8.09
-67.99,1.31,-8.14
-67.96,1.26,-8.17
-67.94,1.21,-8.19
-67.93,1.16,-8.19
-67.93,1.11,-8.18
-67.93,1.05,-8.17
-67.95,0.98,-8.17
-67.97,0.91,-8.17
-68.0,0.82,-8.17
-68.02,0.74,-8.2
-68.05,0.66,-8.22
-68.09,0.57,-8.23
-68.12,0.45,-8.25
-68.17,0.31,-8.24
-68.2,0.13,-8.21
-68.26,-0.08,-8.15
-68.35,-0.32,-8.07
-68.48,-0.61,-7.98
-68.67,-0.96,-7.88
-23.87,-12.25,0.16
-23.6,-12.38,-1.56
-23.11,-12.83,-2.86
-22.39,-13.45,-3.7
-21.52,-14.04,-4.16
-20.6,-14.47,-4.3
-19.69,-14.68,-4.2
-18.77,-14.64,-3.95
-17.89,-14.37,-3.6
-17.13,-13.91,-3.26
-16.5,-13.34,-2.96
-16.0,-12.73,-2.71
-15.61,-12.16,-2.46
-15.35,-11.65,-2.23
-15.18,-11.23,-2.04
-15.11,-10.9,-1.89
-15.1,-10.69,-1.81
-15.17,-10.58,-1.81
-15.29,-10.56,-1.85
-15.45,-10.6,-1.94
-15.64,-10.64,-2.05
-15.86,-10.66,-2.15
-16.12,-10.62,-2.24
-16.37,-10.51,-2.29
-16.64,-10.33,-2.31
-16.89,-10.1,-2.27
-17.12,-9.85,-2.18
-17.29,-9.6,-2.04
-17.39,-9.38,-1.89
-17.44,-9.19,-1.74
-17.43,-9.01,-1.62
-17.31,-5.18,-4.21
-17.32,-5.16,-4.25
-17.34,-5.12,-4.29
-17.36,-5.08,-4.33
-17.4,-5.03,-4.34
-17.44,-4.98,-4.35
-17.48,-4.93,-4.36
-17.54,-4.89,-4.37
-17.6,-4.85,-4.38
-17.68,-4.84,-4.4
-17.75,-4.84,-4.42
-17.8,-4.84,-4.43
-17.85,-4.85,-4.43
-17.86,-4.85,-4.43
-17.85,-4.83,-4.43
-17.83,-4.81,-4.45
-17.79,-4.79,-4.48
-17.75,-4.76,-4.51
-17.71,-4.73,-4.55
-17.68,-4.69,-4.58
-17.66,-4.65,-4.61
