yaw,pitch,roll
-84.92,-10.47,-19.28
-85.75,-10.57,-19.36
-86.61,-10.7,-19.41
-87.56,-10.85,-19.37
-88.67,-11.02,-19.21
-89.95,-11.18,-18.89
-91.47,-11.31,-18.4
-15.72,-1.44,10.32
-15.67,-1.31,10.19
-15.58,-1.17,10.04
-15.51,-1.03,9.89
-15.46,-0.91,9.76
-15.46,-0.83,9.66
-15.49,-0.78,9.54
-15.57,-0.78,9.41
-15.69,-0.82,9.25
-15.85,-0.87,9.08
-16.02,-0.93,8.92
-16.17,-0.99,8.79
-16.28,-1.03,8.68
-16.34,-1.04,8.57
-16.36,-1.04,8.45
-16.34,-1.03,8.29
-16.31,-1.02,8.14
-16.27,-1.0,7.97
-16.24,-1.0,7.82
-16.22,-1.02,7.69
-16.21,-1.06,7.59
-16.22,-1.14,7.53
-16.26,-1.26,7.49
-16.32,-1.41,7.44
-16.41,-1.58,7.38
-16.52,-1.74,7.31
-16.63,-1.89,7.24
-16.73,-2.01,7.15
-16.81,-2.1,7.06
-16.88,-2.19,6.98
-16.95,-2.3,6.91
-17.0,-2.41,6.84
-17.04,-2.54,6.77
-17.07,-2.65,6.69
-17.06,-2.75,6.59
-17.03,-2.85,6.48
-17.0,-2.94,6.38
-16.53,-3.28,3.76
-16.53,-3.25,3.7
-16.52,-3.23,3.63
-16.51,-3.22,3.58
-16.49,-3.2,3.53
-16.47,-3.19,3.48
-16.45,-3.18,3.43
-16.43,-3.18,3.38
-16.43,-3.17,3.34
-16.43,-3.17,3.3
-16.44,-3.16,3.25
-16.44,-3.14,3.2
-16.44,-3.11,3.16
-16.44,-3.09,3.12
-16.44,-3.06,3.09
-16.43,-3.03,3.06
-16.43,-3.0,3.03
-16.44,-2.97,2.99
-16.44,-2.96,2.95
-16.44,-2.95,2.9
-16.44,-2.94,2.85
-16.43,-2.93,2.8
-16.41,-2.92,2.76
-16.39,-2.9,2.71
-16.37,-2.89,2.67
-16.35,-2.89,2.62
-16.33,-2.89,2.57
-16.31,-2.89,2.52
-16.29,-2.89,2.48
-16.3,-2.88,2.44
-16.3,-2.87,2.4
-16.3,-2.86,2.35
-16.31,-2.85,2.3
-16.31,-2.84,2.24
-16.29,-2.83,2.18
-16.27,-2.82,2.13
-16.25,-2.8,2.08
-16.22,-2.35,0.65
-16.27,-2.35,0.6
-16.31,-2.34,0.55
-16.36,-2.33,0.51
-16.43,-2.32,0.47
-16.5,-2.32,0.43
-16.58,-2.33,0.38
-16.68,-2.35,0.33
-16.78,-2.38,0.27
-16.88,-2.43,0.18
-16.99,-2.47,0.06
-17.13,-2.48,-0.09
-17.32,-2.49,-0.27
-17.56,-2.48,-0.52
-17.84,-2.47,-0.84
-18.17,-2.49,-1.21
-18.54,-2.52,-1.64
-18.94,-2.56,-2.12
-19.41,-2.63,-2.63
