yaw,pitch,roll
-19.94,-2.73,-3.17
-20.54,-2.87,-3.72
-21.21,-3.03,-4.29
-21.93,-3.19,-4.88
-22.72,-3.35,-5.49
-23.6,-3.48,-6.15
-24.56,-3.6,-6.88
-25.59,-3.68,-7.65
-26.69,-3.75,-8.45
-27.8,-3.82,-9.29
-28.9,-3.91,-10.13
-29.97,-4.02,-10.95
-31.0,-4.13,-11.77
-31.95,-4.25,-12.59
-52.75,-4.48,-23.88
-53.26,-4.21,-23.7
-53.74,-3.93,-23.47
-54.2,-3.66,-23.21
-54.63,-3.44,-22.91
-55.04,-3.24,-22.56
-55.45,-3.07,-22.17
-55.86,-2.88,-21.72
-56.27,-2.66,-21.21
-56.7,-2.39,-20.65
-57.16,-2.05,-20.07
-57.62,-1.68,-19.49
-58.09,-1.35,-18.89
-58.53,-1.07,-18.26
-58.93,-0.83,-17.6
-59.28,-0.63,-16.92
-59.56,-0.45,-16.21
-59.81,-0.31,-15.53
-60.07,-0.17,-14.91
-60.33,0.0,-14.41
-60.63,0.2,-14.05
-60.95,0.39,-13.79
-61.28,0.56,-13.62
-61.58,0.7,-13.49
-61.84,0.8,-13.4
-62.07,0.86,-13.31
-62.23,0.9,-13.23
-62.38,0.92,-13.1
-62.48,0.97,-12.95
-62.57,1.04,-12.78
-62.65,1.14,-12.6
-66.1,-0.37,-9.18
-66.17,-0.46,-9.17
-66.22,-0.53,-9.16
-66.27,-0.59,-9.14
-66.3,-0.64,-9.11
-66.32,-0.69,-9.07
-66.34,-0.73,-9.03
-66.33,-0.79,-8.97
-66.34,-0.82,-8.91
-66.34,-0.84,-8.85
-66.34,-0.85,-8.82
-66.35,-0.86,-8.8
-66.36,-0.87,-8.79
-66.37,-0.89,-8.8
-66.39,-0.94,-8.82
-66.41,-0.99,-8.83
-66.44,-1.04,-8.84
-66.47,-1.08,-8.86
-66.5,-1.11,-8.87
-66.51,-1.15,-8.87
-66.52,-1.19,-8.86
-66.52,-1.24,-8.85
-66.52,-1.27,-8.84
-66.53,-1.31,-8.84
-66.54,-1.34,-8.84
-66.55,-1.37,-8.85
-66.58,-1.41,-8.86
-66.61,-1.43,-8.88
-66.64,-1.46,-8.9
-66.65,-1.49,-8.91
-66.65,-1.5,-8.91
-66.63,-1.5,-8.91
-66.62,-1.5,-8.9
-66.6,-1.5,-8.88
-67.9,-2.32,-8.1
-67.96,-2.4,-8.11
-68.04,-2.54,-8.13
-68.18,-2.72,-8.14
-68.37,-2.98,-8.14
-68.66,-3.28,-8.12
-69.09,-3.63,-8.08
-69.69,-4.0,-8.05
-70.5,-4.38,-8.04
-71.59,-4.74,-8.06
-73.0,-5.1,-8.08
-74.78,-5.47,-8.09
-76.95,-5.89,-8.06
-79.49,-6.45,-7.97
-82.37,-7.11,-7.79
-85.52,-7.82,-7.49
-88.69,-8.6,-7.11
-91.52,-9.46,-6.65
-93.6,-10.35,-6.31
-94.55,-11.01,-6.22
-94.07,-11.26,-6.43
