yaw,pitch,roll
-94.98,-2.69,-3.37
-94.99,-2.67,-3.41
-95.0,-2.66,-3.44
-95.0,-2.65,-3.46
-94.98,-2.63,-3.49
-94.97,-2.62,-3.52
-94.96,-2.61,-3.55
-94.96,-2.59,-3.58
-94.96,-2.57,-3.62
-94.96,-2.56,-3.66
-94.96,-2.55,-3.68
-94.96,-2.54,-3.7
-94.96,-2.52,-3.72
-94.96,-2.52,-3.73
-94.96,-2.51,-3.74
-94.96,-2.5,-3.76
-94.96,-2.49,-3.77
-94.96,-2.48,-3.8
-95.77,-2.5,-2.1
-95.73,-2.48,-1.97
-95.6,-2.49,-1.9
-95.37,-2.49,-1.89
-95.07,-2.49,-1.93
-94.68,-2.5,-2.03
-94.19,-2.5,-2.17
-93.63,-2.48,-2.33
-93.01,-2.47,-2.52
-92.32,-2.45,-2.73
-91.55,-2.42,-2.97
-90.75,-2.44,-3.22
-89.93,-2.49,-3.48
-89.12,-2.58,-3.74
-88.35,-2.71,-3.98
-87.62,-2.84,-4.24
-86.92,-2.98,-4.48
-86.26,-3.11,-4.7
-85.59,-3.23,-4.89
-84.9,-3.37,-5.06
-84.21,-3.53,-5.19
-83.53,-3.7,-5.29
-82.87,-3.88,-5.34
-82.22,-4.05,-5.35
-81.6,-4.17,-5.33
-80.99,-4.24,-5.31
-80.39,-4.28,-5.29
-79.81,-4.32,-5.29
-79.24,-4.33,-5.32
-78.71,-4.3,-5.4
-78.21,-4.22,-5.54
-77.75,-4.07,-5.74
-77.29,-3.83,-5.99
-76.64,-3.24,-7.31
-76.72,-3.1,-7.45
-76.81,-2.99,-7.55
-76.91,-2.88,-7.62
-77.03,-2.75,-7.68
-77.17,-2.58,-7.72
-77.33,-2.39,-7.75
-77.51,-2.17,-7.79
-77.7,-1.94,-7.83
-77.88,-1.71,-7.89
-78.03,-1.51,-7.97
-78.18,-1.31,-8.04
-78.3,-1.13,-8.13
-78.38,-0.94,-8.22
-78.44,-0.76,-8.31
-78.47,-0.6,-8.41
-78.48,-0.48,-8.49
-78.49,-0.41,-8.55
-78.52,-0.37,-8.61
-78.57,-0.35,-8.68
-78.65,-0.29,-8.81
-78.73,-0.2,-9.0
-78.82,-0.06,-9.27
-78.88,0.14,-9.59
-78.92,0.38,-9.94
-78.94,0.63,-10.29
-78.93,0.88,-10.6
-78.92,1.09,-10.86
-78.93,1.25,-11.07
-78.95,1.37,-11.24
-79.02,1.44,-11.37
-79.1,1.48,-11.47
-79.23,1.5,-11.54
-68.04,5.3,-5.0
-67.17,5.42,-4.67
-66.28,5.54,-4.37
-65.34,5.64,-4.1
-64.4,5.74,-3.86
-63.47,5.83,-3.66
-62.52,5.93,-3.52
-61.57,6.03,-3.46
-60.62,6.13,-3.47
-59.66,6.19,-3.53
-58.7,6.18,-3.63
-57.79,6.1,-3.78
-56.99,5.94,-3.95
-56.33,5.73,-4.14
-55.86,5.52,-4.31
-55.59,5.35,-4.44
