yaw,pitch,roll
-22.74,-4.08,-19.02
-23.11,-4.0,-19.11
-23.48,-3.89,-19.21
-23.85,-3.76,-19.29
-24.22,-3.63,-19.38
-24.61,-3.51,-19.45
-25.01,-3.42,-19.51
-25.44,-3.37,-19.55
-25.87,-3.38,-19.59
-48.22,-3.7,-18.12
-49.26,-3.67,-17.97
-50.29,-3.72,-17.81
-51.31,-3.84,-17.65
-52.28,-4.02,-17.49
-53.19,-4.23,-17.35
-54.02,-4.47,-17.22
-54.8,-4.72,-17.09
-55.51,-4.95,-16.97
-56.19,-5.13,-16.83
-56.83,-5.25,-16.69
-57.47,-5.3,-16.55
-58.09,-5.3,-16.41
-58.71,-5.25,-16.26
-59.34,-5.16,-16.12
-60.0,-5.05,-16.01
-60.69,-4.9,-15.91
-61.41,-4.74,-15.85
-62.14,-4.59,-15.8
-62.88,-4.49,-15.76
-63.61,-4.44,-15.72
-64.31,-4.44,-15.67
-64.95,-4.47,-15.61
-65.57,-4.51,-15.53
-66.15,-4.54,-15.43
-66.7,-4.53,-15.31
-67.22,-4.48,-15.18
-67.75,-4.38,-15.03
-68.26,-4.23,-14.88
-68.76,-4.04,-14.73
-82.16,-4.54,-7.52
-82.21,-4.51,-7.44
-82.25,-4.48,-7.38
-82.26,-4.44,-7.32
-82.25,-4.4,-7.29
-82.22,-4.36,-7.26
-82.18,-4.33,-7.26
-82.13,-4.3,-7.26
-82.08,-4.26,-7.27
-82.02,-4.23,-7.3
-81.98,-4.21,-7.33
-81.93,-4.2,-7.37
-81.9,-4.19,-7.4
-81.85,-4.18,-7.42
-81.8,-4.16,-7.43
-81.74,-4.15,-7.42
-81.65,-4.14,-7.4
-81.55,-4.13,-7.37
-81.46,-4.12,-7.35
-81.37,-4.11,-7.34
-81.31,-4.11,-7.34
-81.28,-4.13,-7.35
-81.27,-4.18,-7.36
-81.29,-4.25,-7.37
-81.34,-4.36,-7.37
-81.41,-4.5,-7.38
-81.5,-4.64,-7.4
-81.65,-4.79,-7.42
-81.84,-4.92,-7.45
-82.14,-5.02,-7.48
-82.56,-5.09,-7.49
-83.16,-5.14,-7.52
-83.97,-5.2,-7.54
6.66,-12.95,0.96
7.89,-13.01,1.27
9.04,-12.95,1.73
10.06,-12.74,2.28
10.91,-12.39,2.84
11.53,-11.91,3.29
11.92,-11.36,3.58
12.12,-10.77,3.71
12.16,-10.24,3.74
12.07,-9.84,3.76
11.92,-9.64,3.8
11.73,-9.66,3.88
11.53,-9.83,4.0
11.36,-10.08,4.14
11.26,-10.34,4.27
11.21,-10.54,4.38
11.22,-10.64,4.46
11.25,-10.63,4.49
11.28,-10.5,4.47
11.29,-10.27,4.42
11.25,-9.96,4.33
11.17,-9.63,4.21
11.06,-9.34,4.11
10.97,-9.13,4.04
10.9,-8.98,3.95
10.88,-8.89,3.86
10.9,-8.85,3.76
10.94,-8.84,3.64
