yaw,pitch,roll
-80.19,-8.76,-5.93
-81.12,-8.47,-5.23
-81.97,-8.16,-4.54
-82.76,-7.8,-3.88
-83.45,-7.4,-3.24
-84.03,-6.96,-2.6
-84.52,-6.48,-1.96
-84.91,-5.96,-1.31
-85.19,-5.39,-0.65
-85.37,-4.77,0.04
-59.21,2.91,10.2
-58.43,2.9,9.51
-57.66,2.87,8.86
-56.91,2.82,8.23
-56.18,2.74,7.61
-55.44,2.64,6.93
-54.72,2.54,6.18
-54.01,2.44,5.38
-53.33,2.32,4.57
-52.7,2.17,3.8
-52.14,2.01,3.06
-51.65,1.86,2.34
-51.28,1.73,1.61
-51.0,1.6,0.87
-50.84,1.49,0.07
-50.79,1.38,-0.75
-50.82,1.24,-1.61
-50.94,1.08,-2.45
-51.11,0.89,-3.27
-51.32,0.66,-4.1
-51.58,0.38,-4.91
-51.9,0.07,-5.69
-52.28,-0.28,-6.42
-52.73,-0.64,-7.08
-53.23,-0.99,-7.67
-53.77,-1.35,-8.19
-54.33,-1.67,-8.66
-54.93,-1.95,-9.11
-55.59,-2.17,-9.53
-56.3,-2.34,-9.94
-57.04,-2.45,-10.33
-57.82,-2.56,-10.72
-58.58,-2.67,-11.08
-59.33,-2.78,-11.42
-60.03,-2.91,-11.73
-60.68,-3.02,-11.99
-67.03,-3.57,-5.31
-66.99,-3.55,-5.34
-66.94,-3.54,-5.37
-66.9,-3.53,-5.4
-66.86,-3.52,-5.44
-66.84,-3.5,-5.49
-66.83,-3.48,-5.54
-66.83,-3.47,-5.61
-66.85,-3.45,-5.69
-66.87,-3.43,-5.79
-66.89,-3.42,-5.88
-66.9,-3.4,-5.98
-66.9,-3.38,-6.09
-66.9,-3.37,-6.19
-66.88,-3.36,-6.28
-66.87,-3.35,-6.36
-66.86,-3.34,-6.44
-66.85,-3.33,-6.5
-66.86,-3.32,-6.57
-66.86,-3.31,-6.64
-66.87,-3.3,-6.73
-66.89,-3.29,-6.81
-66.91,-3.28,-6.9
-66.92,-3.26,-6.99
-66.94,-3.23,-7.07
-66.95,-3.2,-7.16
-66.98,-3.16,-7.23
-67.0,-3.13,-7.29
-67.03,-3.11,-7.33
-67.07,-3.07,-7.35
-67.1,-3.04,-7.35
-67.13,-2.97,-7.33
-67.16,-2.9,-7.3
-53.92,6.04,3.18
-52.65,6.14,3.06
-51.46,6.2,2.86
-50.38,6.23,2.55
-49.43,6.27,2.12
-48.66,6.34,1.59
-48.05,6.41,1.0
-47.59,6.5,0.33
-47.24,6.6,-0.41
-46.99,6.69,-1.19
-46.79,6.75,-2.02
-46.64,6.8,-2.88
-46.54,6.82,-3.75
-46.49,6.81,-4.55
-46.49,6.79,-5.25
-46.48,6.78,-5.9
-46.51,6.76,-6.54
-46.54,6.73,-7.25
-46.64,6.68,-8.03
-46.81,6.65,-8.85
-47.09,6.61,-9.66
