yaw,pitch,roll
-79.22,4.48,3.76
-78.5,4.66,4.44
-77.75,4.84,5.04
-76.98,5.01,5.58
-76.15,5.15,6.07
-75.27,5.26,6.53
-74.33,5.33,6.97
-73.33,5.35,7.37
-72.26,5.32,7.74
-71.12,5.24,8.08
-69.9,5.15,8.38
-68.62,5.07,8.63
-67.3,4.99,8.82
-65.92,4.9,8.95
-64.52,4.81,9.0
-63.12,4.71,9.0
-61.75,4.59,8.93
-60.45,4.47,8.79
-59.22,4.35,8.58
-58.09,4.27,8.32
-57.03,4.18,8.0
-56.03,4.1,7.65
-55.16,4.03,7.25
-54.41,3.95,6.83
-53.73,3.81,6.39
-53.1,3.66,5.89
-52.54,3.49,5.31
-52.02,3.32,4.66
-51.52,3.16,3.95
-51.05,3.06,3.18
-50.6,2.96,2.39
-50.16,2.85,1.59
-49.79,2.74,0.81
-49.47,2.61,0.06
-49.21,2.45,-0.68
-49.02,2.27,-1.39
-69.35,-5.55,-14.9
-70.38,-5.63,-14.76
-71.39,-5.68,-14.57
-72.4,-547.0,-11.41
-88.38,-1.2,-2.06
-88.28,-0.6,-1.17
-88.09,-0.02,-0.28
-87.82,0.56,0.64
-87.5,1.11,1.59
-87.15,1.62,2.57
-86.79,2.11,3.55
-86.4,2.57,4.53
-86.02,3.01,5.44
-85.62,3.39,6.29
-85.23,3.69,7.08
-84.82,3.9,7.85
-84.37,4.05,8.61
-83.87,4.18,9.37
-83.31,4.31,10.12
-82.64,4.45,10.83
-81.84,4.58,11.46
-80.89,4.63,12.0
-79.8,4.59,12.48
-78.63,4.45,12.87
-77.4,4.29,13.18
-76.18,4.16,13.38
-74.98,4.08,13.48
-73.84,4.05,13.46
-72.76,4.03,13.35
-71.73,3.98,13.16
-70.69,3.89,12.9
-69.64,3.74,12.6
-68.54,3.55,12.27
-67.36,3.31,11.94
-66.1,3.05,11.59
-64.75,2.76,11.22
-63.34,2.43,10.82
-61.91,2.09,10.38
-60.5,1.76,9.89
-59.14,1.44,9.35
-57.85,1.15,8.77
-56.67,0.89,8.16
-57.28,-7.79,-10.11
-57.95,-7.95,-10.56
-58.69,-8.11,-10.91
-59.52,-8.25,-11.18
-60.43,-8.42,-11.36
-61.42,-8.63,-11.47
-62.47,-8.86,-11.53
-63.57,-9.11,-11.55
-64.69,-9.36,-11.51
-65.85,-9.56,-11.42
-67.03,-9.69,-11.29
-68.22,-9.75,-11.11
-69.4,-9.74,-10.91
-70.56,-9.73,-10.69
-71.7,-9.72,-10.42
-72.82,-9.72,-10.11
-73.92,-9.73,-9.72
-75.01,-9.7,-9.24
-76.09,-9.62,-8.68
-77.16,-9.47,-8.05
-78.21,-9.25,-7.37
-79.22,-9.02,-6.66
