yaw,pitch,roll
-32.45,0.91,7.41
-31.54,0.98,6.57
-30.66,1.04,5.66
-29.83,1.1,4.73
-29.05,1.17,3.78
-28.32,1.28,2.82
-27.63,1.44,1.84
-26.98,1.63,0.86
-26.38,1.86,-0.12
-25.85,2.12,-1.09
-25.37,2.4,-2.06
-24.96,2.72,-3.02
-24.62,3.07,-3.95
-24.35,3.42,-4.87
-50.71,2.42,-15.51
-51.58,2.26,-14.41
-52.36,2.16,-13.22
-53.06,2.14,-11.98
-53.67,2.16,-10.69
-54.2,2.17,-9.37
-54.65,2.18,-8.05
-55.03,2.16,-6.73
-55.34,2.11,-5.46
-55.57,2.05,-4.29
-55.74,1.95,-3.23
-55.83,1.84,-2.29
-55.83,1.72,-1.39
-55.73,1.59,-0.48
-55.55,1.47,0.48
-55.28,1.34,1.49
-54.97,1.19,2.54
-54.6,1.03,3.58
-54.18,0.87,4.59
-53.68,0.73,5.53
-53.1,0.62,6.42
-52.41,0.52,7.29
-51.66,0.43,8.15
-50.83,0.34,9.01
-49.94,0.23,9.83
-48.98,0.11,10.6
-47.94,-0.05,11.32
-46.84,-0.25,11.99
-45.71,-0.47,12.58
-44.56,-0.7,13.07
-43.39,-0.9,13.44
-42.21,-1.08,13.66
-40.99,-1.24,13.75
-39.8,-1.42,13.74
-38.63,-1.61,13.66
-37.49,-1.81,13.48
-36.39,-2.02,13.23
-29.66,2.05,-13.43
-29.98,2.14,-13.36
-30.27,2.17,-13.29
-30.54,2.16,-13.21
-30.76,2.13,-13.15
-30.96,2.07,-13.11
-31.14,2.0,-13.09
-31.31,1.91,-13.09
-31.49,1.81,-13.1
-31.65,1.72,-13.1
-31.81,1.67,-13.08
-31.95,1.64,-13.01
-32.11,1.63,-12.89
-32.26,1.63,-12.74
-32.41,1.61,-12.57
-32.55,1.58,-12.38
-32.67,1.54,-12.2
-32.76,1.49,-12.03
-32.84,1.43,-11.88
-32.89,1.34,-11.74
-32.96,1.24,-11.63
-33.02,1.15,-11.53
-33.07,1.05,-11.43
-33.11,0.98,-11.32
-33.14,0.93,-11.21
-33.17,0.89,-11.08
-33.19,0.86,-10.93
-33.21,0.83,-10.76
-33.23,0.8,-10.6
-33.24,0.78,-10.42
-33.23,0.75,-10.24
-33.21,0.74,-10.06
-33.18,0.72,-9.88
-29.81,1.81,-1.69
-29.22,1.86,-0.99
-28.6,1.91,-0.31
-27.94,1.93,0.3
-27.27,1.93,0.79
-26.6,1.88,1.14
-25.94,1.79,1.4
-25.27,1.67,1.56
-24.63,1.55,1.61
-24.01,1.46,1.59
-23.43,1.38,1.49
-22.91,1.34,1.33
-22.46,1.34,1.09
-22.1,1.4,0.75
-21.82,1.57,0.33
-21.62,1.84,-0.2
