yaw,pitch,roll
-52.48,2.08,-20.3
-53.68,2.02,-21.58
-54.83,1.88,-22.71
-55.91,1.68,-23.7
-56.93,1.44,-24.52
-57.91,1.21,-25.17
-58.86,1.0,-25.66
-59.81,0.82,-25.99
-60.82,0.65,-26.17
-61.92,0.46,-26.23
-63.16,0.24,-26.18
-64.56,-0.02,-26.09
-66.11,-0.33,-25.95
-67.77,-0.73,-25.8
-69.52,-1.2,-25.64
-71.29,-1.72,-25.45
-73.05,-2.24,-25.23
-74.81,-2.76,-24.92
-76.53,-3.23,-24.53
-78.17,-3.62,-24.08
-79.7,-3.91,-23.56
-81.12,-4.05,-22.99
-82.41,-4.05,-22.37
-83.58,-3.89,-21.69
-84.65,-3.6,-20.96
-85.59,-3.27,-20.12
-50.14,-3.33,7.03
-48.65,-3.45,6.24
-47.31,-3.5,5.36
-46.15,-3.51,4.42
-45.14,-3.5,3.39
-44.28,-3.51,2.34
-43.56,-3.56,1.28
-43.01,-3.62,0.23
-42.64,-3.7,-0.81
-42.43,-3.73,-1.86
-42.39,-3.71,-2.89
-42.49,-3.6,-3.89
-42.72,-3.4,-4.83
-43.06,-3.11,-5.72
-43.46,-2.71,-6.59
-43.92,-2.23,-7.5
-44.45,-1.7,-8.46
-45.1,-1.16,-9.52
-45.88,-0.64,-10.65
-46.78,-0.17,-11.8
-47.81,0.22,-12.9
-48.98,0.55,-13.93
-50.3,0.83,-14.83
-51.78,1.1,-15.61
-53.42,1.38,-16.28
-55.23,1.69,-16.89
-57.19,2.02,-17.48
-59.29,2.36,-18.07
-61.48,2.65,-18.68
-63.76,2.9,-19.29
-66.08,3.11,-19.9
-68.43,3.28,-20.46
-70.83,3.41,-20.94
-51.71,-2.55,18.64
-49.26,-3.25,17.81
-46.95,-3.81,16.78
-44.76,-4.22,15.58
-42.73,-4.54,14.27
-40.87,-4.79,12.87
-39.21,-4.99,11.42
-37.77,-5.07,9.92
-36.56,-5.07,8.38
-35.57,-4.98,6.8
-34.81,-4.84,5.17
-34.31,-4.64,3.48
-34.09,-4.42,1.75
-34.14,-4.18,-0.02
-34.46,-3.94,-1.8
-35.02,-3.71,-3.59
-35.82,-3.48,-5.36
-36.83,-3.25,-7.12
-38.03,-3.0,-8.84
-39.4,-2.69,-10.52
-40.93,-2.32,-12.18
-42.63,-1.89,-13.8
-44.51,-1.41,-15.36
-46.57,-0.88,-16.85
-48.83,-0.3,-18.22
-51.2,0.26,-19.48
-53.62,0.76,-20.59
-55.99,1.15,-21.53
-58.27,1.42,-22.2
-60.46,1.61,-22.55
-62.57,1.79,-22.55
-64.65,2.04,-22.23
-66.72,2.44,-21.61
-35.11,-6.23,18.97
-33.89,-6.13,16.65
-33.01,-5.85,14.24
-32.42,-5.37,11.8
-32.03,-4.67,9.39
-31.8,-3.85,7.08
-31.65,-2.93,4.92
-31.54,-1.97,2.97
