yaw,pitch,roll
-61.16,5.3,-8.67
-61.19,5.25,-8.56
-61.21,5.23,-8.45
-61.21,5.21,-8.34
-61.24,5.2,-8.24
-61.26,5.18,-8.13
-61.3,5.17,-8.04
-61.35,5.15,-7.96
-61.41,5.14,-7.89
-61.49,5.14,-7.85
-61.55,5.14,-7.82
-61.59,5.16,-7.81
-61.63,5.17,-7.81
-61.64,5.18,-7.82
-61.67,5.19,-7.83
-61.68,5.18,-7.83
-61.71,5.17,-7.83
-61.74,5.17,-7.84
-61.76,5.16,-7.85
-61.79,5.18,-7.85
-61.82,5.2,-7.86
-61.84,5.24,-7.86
-61.9,5.28,-7.86
-61.96,5.34,-7.85
-62.04,5.43,-7.86
-62.15,5.53,-7.86
-62.29,5.64,-7.88
-40.67,10.78,-0.96
-40.45,10.56,-2.19
-40.39,10.32,-3.56
-40.49,10.05,-5.05
-40.72,9.77,-6.63
-41.06,9.47,-8.3
-41.53,9.13,-10.01
-42.14,8.7,-11.71
-42.86,8.17,-13.38
-43.73,7.48,-14.87
-44.73,6.64,-16.14
-45.81,5.73,-17.2
-46.9,4.82,-18.11
-47.98,3.93,-18.99
-49.07,3.07,-19.94
-50.22,2.25,-20.95
-51.46,1.5,-21.96
-52.8,0.84,-22.94
-54.22,0.32,-23.86
-55.73,-0.03,-24.74
-57.35,-0.2,-25.57
-59.08,-0.21,-26.35
-60.9,-0.12,-27.02
-62.78,0.01,-27.54
-64.66,0.14,-27.85
-66.52,0.25,-27.92
-68.34,0.38,-27.72
-70.12,0.54,-27.27
-71.81,0.74,-26.58
-73.42,0.98,-25.66
-74.93,1.25,-24.53
-76.37,1.57,-23.22
-77.75,1.88,-21.76
-46.08,9.45,12.7
-45.16,9.42,11.6
-44.33,9.39,10.36
-43.57,9.4,9.03
-42.87,9.48,7.61
-42.26,9.61,6.15
-41.75,9.76,4.66
-41.38,9.88,3.14
-41.14,9.92,1.6
-41.02,9.88,0.03
-41.04,9.78,-1.58
-41.18,9.63,-3.22
-41.48,9.43,-4.9
-41.9,9.17,-6.6
-42.43,8.85,-8.33
-43.02,8.48,-10.08
-43.69,8.06,-11.81
-44.4,7.61,-13.53
-45.22,7.15,-15.21
-46.16,6.71,-16.84
-47.24,6.28,-18.41
-48.44,5.84,-19.91
-49.71,5.38,-21.33
-51.04,4.9,-22.64
-52.39,4.37,-23.83
-53.73,3.78,-24.89
-55.07,3.09,-25.79
-56.39,2.29,-26.52
-57.71,1.43,-27.06
-59.01,0.52,-27.45
-60.26,-0.36,-27.68
-61.48,-1.14,-27.77
-62.64,-1.75,-27.75
-63.8,-2.15,-27.62
-64.93,-2.38,-27.36
-62.52,-0.66,-4.06
-60.6,-0.58,-3.08
-58.65,-0.43,-2.22
-56.7,-0.2,-1.49
-54.75,0.07,-0.91
