yaw,pitch,roll
-5.74,-3.14,-5.44
-5.74,-3.09,-5.16
-6.64,-2.51,-3.27
-6.73,-2.5,-3.14
-6.82,-2.47,-2.97
-6.9,-2.45,-2.76
-7.0,-2.42,-2.51
-7.09,-2.39,-2.26
-7.19,-2.37,-2.0
-7.3,-2.35,-1.76
-7.41,-2.33,-1.54
-7.51,-2.3,-1.36
-7.6,-2.29,-1.22
-7.68,-2.27,-1.11
-7.75,-2.26,-1.03
-7.83,-2.24,-0.98
-7.91,-2.23,-0.95
-8.02,-2.24,-0.94
-8.12,-2.24,-0.94
-8.21,-2.23,-0.94
-8.28,-2.21,-0.91
-8.32,-2.17,-0.85
-8.33,-2.12,-0.72
-8.3,-2.05,-0.55
-8.24,-1.97,-0.37
-8.16,-1.89,-0.19
-8.06,-1.82,-0.02
-7.96,-1.75,0.08
-7.86,-1.68,0.08
-7.79,-1.64,-0.04
-7.73,-1.63,-0.27
-7.68,-1.62,-0.58
-7.64,-1.63,-0.94
-7.61,-1.62,-1.31
-7.58,-1.6,-1.68
-7.54,-1.53,-2.02
-7.48,-1.45,-2.34
-7.39,-1.34,-2.61
-7.3,-1.22,-2.8
-5.87,-1.28,-0.05
-5.83,-1.36,-0.08
-5.78,-1.35,-0.13
-5.71,-1.31,-0.16
-5.62,-1.3,-0.17
-5.53,-1.32,-0.16
-5.44,-1.36,-0.17
-5.36,-1.42,-0.19
-5.29,-1.49,-0.24
-5.23,-1.56,-0.31
-5.19,-1.63,-0.4
-0.68,2.73,11.89
-0.01,1.76,11.24
0.56,0.95,10.43
1.02,0.33,9.53
1.37,-0.11,8.6
1.59,-0.41,7.68
1.7,-0.57,6.85
1.71,-0.61,6.12
1.67,-0.56,5.49
1.61,-0.41,4.98
1.53,-0.19,4.57
1.45,0.09,4.28
1.36,0.38,4.08
1.28,0.7,3.95
1.2,1.01,3.86
1.12,1.3,3.81
1.05,1.55,3.79
0.97,1.74,3.79
0.9,1.88,3.82
0.86,1.97,3.85
0.84,2.02,3.89
0.84,2.03,3.92
0.85,2.01,3.94
0.88,1.97,3.94
0.93,1.93,3.91
0.98,1.89,3.88
1.01,1.86,3.84
1.04,1.82,3.78
1.04,1.8,3.72
1.04,1.78,3.65
1.04,1.76,3.59
1.04,1.74,3.52
1.04,1.74,3.47
1.04,1.72,3.41
1.04,1.7,3.37
1.04,1.67,3.33
1.04,1.63,3.3
1.03,1.58,3.27
1.03,1.54,3.24
1.03,1.49,3.22
1.04,1.45,3.22
1.04,1.41,3.23
1.06,1.37,3.24
1.07,1.32,3.25
1.08,1.26,3.27
1.08,1.18,3.29
1.09,1.09,3.3
1.1,1.01,3.31
1.12,0.94,3.33
1.13,0.87,3.35
