yaw,pitch,roll
-33.83,0.91,-6.7
-33.85,0.82,-6.56
-33.88,0.72,-6.45
-33.92,0.63,-6.36
-33.95,0.55,-6.28
-33.97,0.51,-6.19
-33.99,0.48,-6.11
-34.02,0.46,-6.01
-34.04,0.45,-5.92
-34.05,0.41,-5.84
-34.06,0.36,-5.74
-34.07,0.31,-5.64
-34.06,0.25,-5.54
-34.06,0.2,-5.43
-34.05,0.16,-5.3
-34.03,0.13,-5.16
-34.01,0.11,-5.0
-33.97,0.1,-4.82
-33.93,0.11,-4.61
-33.89,0.12,-4.4
-33.85,0.15,-4.17
-33.81,0.19,-3.95
-33.78,0.22,-3.74
-33.75,0.25,-3.54
-33.73,0.26,-3.35
-33.7,0.27,-3.15
-33.64,0.29,-2.94
-33.56,0.32,-2.68
-33.47,0.37,-2.38
-33.35,0.44,-2.04
-33.2,0.54,-1.67
-33.02,0.66,-1.25
-30.82,4.04,-22.32
-31.46,4.1,-23.12
-32.18,4.11,-23.81
-32.97,4.02,-24.37
-33.84,3.86,-24.79
-34.78,3.65,-25.06
-35.8,3.42,-25.18
-36.87,3.2,-25.17
-37.99,3.01,-25.02
-39.14,2.87,-24.76
-40.3,2.79,-24.41
-41.46,2.72,-23.98
-42.62,2.62,-23.46
-43.76,2.48,-22.86
-44.85,2.27,-22.18
-45.88,2.01,-21.4
-46.83,1.73,-20.51
-47.7,1.44,-19.48
-48.5,1.17,-18.33
-49.23,0.92,-17.08
-49.91,0.72,-15.75
-50.54,0.57,-14.37
-51.14,0.5,-12.95
-51.66,0.51,-11.54
-52.12,0.58,-10.17
-52.49,0.7,-8.88
-52.78,0.8,-7.71
-52.99,0.84,-6.64
-53.12,0.81,-5.67
-53.16,0.71,-4.76
-53.09,0.59,-3.85
-52.9,0.46,-2.88
-52.6,0.33,-1.81
-52.22,0.21,-0.65
-22.86,-1.79,-0.37
-22.42,-1.64,-1.46
-22.06,-1.45,-2.56
-21.78,-1.19,-3.66
-21.57,-0.88,-4.76
-21.44,-0.52,-5.87
-21.35,-0.11,-6.99
-21.34,0.3,-8.12
-21.4,0.7,-9.27
-21.55,1.06,-10.42
-21.77,1.37,-11.59
-22.07,1.66,-12.73
-22.44,1.92,-13.84
-22.89,2.13,-14.9
-23.41,2.32,-15.92
-24.01,2.46,-16.88
-24.67,2.58,-17.78
-25.38,2.65,-18.62
-26.17,2.68,-19.39
-27.03,2.68,-20.08
-27.96,2.66,-20.69
-28.97,2.65,-21.22
-30.03,2.64,-21.66
-31.15,2.61,-21.99
-32.34,2.53,-22.18
-33.6,2.42,-22.24
-34.89,2.26,-22.16
-36.2,2.06,-21.93
-37.5,1.83,-21.56
-38.76,1.58,-21.08
-39.97,1.31,-20.5
-41.12,1.02,-19.84
-42.2,0.7,-19.09
-43.23,0.36,-18.27
