yaw,pitch,roll
-60.68,-2.11,3.13
-60.74,-2.12,2.9
-60.8,-2.15,2.71
-60.82,-2.19,2.54
-60.81,-2.25,2.38
-60.79,-2.31,2.24
-60.76,-2.36,2.1
-60.73,-2.4,1.97
-60.71,-2.45,1.85
-60.71,-2.5,1.75
-60.74,-2.56,1.68
-60.79,-2.62,1.64
-60.85,-2.69,1.64
-60.9,-2.76,1.66
-60.93,-2.83,1.68
-60.92,-2.91,1.72
-60.87,-2.99,1.76
-60.77,-3.07,1.83
-60.64,-3.17,1.9
-60.48,-3.26,1.97
-58.61,-4.12,-7.64
-59.15,-4.22,-8.35
-59.73,-4.32,-9.03
-60.35,-4.42,-9.67
-61.01,-4.49,-10.28
-61.69,-4.53,-10.84
-62.42,-4.51,-11.36
-63.18,-4.46,-11.83
-63.94,-4.38,-12.24
-64.71,-4.29,-12.59
-65.44,-4.23,-12.85
-66.14,-4.23,-13.03
-66.79,-4.32,-13.09
-67.43,-4.5,-13.02
-68.06,-4.73,-12.85
-68.69,-4.97,-12.56
-69.32,-5.18,-12.19
-69.94,-5.35,-11.76
-70.53,-5.48,-11.3
-71.08,-5.6,-10.82
-71.57,-5.71,-10.33
-72.03,-5.81,-9.84
-72.45,-5.9,-9.36
-72.85,-5.94,-8.89
-73.25,-5.96,-8.44
-73.63,-5.95,-8.0
-73.99,-5.91,-7.56
-74.31,-5.86,-7.12
-74.58,-5.81,-6.65
-74.79,-5.78,-6.18
-74.93,-5.74,-5.67
-72.17,-3.07,-3.57
-72.12,-3.01,-3.66
-72.07,-2.95,-3.75
-72.03,-2.89,-3.83
-71.98,-2.82,-3.9
-71.94,-2.77,-3.96
-71.9,-2.71,-4.0
-71.87,-2.67,-4.04
-71.84,-2.62,-4.06
-71.81,-2.58,-4.08
-71.77,-2.53,-4.08
-71.71,-2.48,-4.09
-71.65,-2.44,-4.1
-71.58,-2.39,-4.1
-71.51,-2.35,-4.09
-71.44,-2.29,-4.06
-71.37,-2.24,-4.04
-71.3,-2.18,-4.01
-71.23,-2.13,-3.99
-71.18,-2.07,-3.96
-71.12,-2.0,-3.93
-71.07,-1.93,-3.91
-71.01,-1.85,-3.9
-70.96,-1.78,-3.88
-70.89,-1.71,-3.86
-70.81,-1.65,-3.83
-70.74,-1.59,-3.8
-70.67,-1.53,-3.75
-70.61,-1.47,-3.7
-70.55,-1.4,-3.66
-70.5,-1.33,-3.61
-70.46,-1.27,-3.56
-70.41,-1.2,-3.51
-70.36,-1.13,-3.45
-60.76,2.84,-2.9
-60.49,2.94,-3.3
-60.22,3.05,-3.72
-59.97,3.16,-4.16
-59.74,3.24,-4.6
-59.52,3.3,-5.04
-59.33,3.31,-5.46
-59.13,3.29,-5.85
-58.93,3.23,-6.21
-58.76,3.14,-6.56
-58.6,3.01,-6.9
-58.51,2.83,-7.26
-58.49,2.64,-7.62
-58.55,2.46,-8.01
-58.71,2.29,-8.42
