yaw,pitch,roll
-21.5,2.22,-0.81
-21.46,2.7,-1.5
-21.52,3.22,-2.3
-21.64,3.74,-3.17
-21.82,4.26,-4.12
-22.03,4.74,-5.14
-22.26,5.17,-6.21
-22.53,5.54,-7.35
-22.82,5.86,-8.52
-23.15,6.09,-9.74
-23.54,6.28,-11.0
-23.99,6.45,-12.29
-24.52,6.62,-13.61
-25.12,6.84,-14.93
-25.78,7.12,-16.23
-26.51,7.44,-17.48
-27.29,7.78,-18.66
-28.13,8.11,-19.77
-29.03,8.4,-20.8
-29.99,8.65,-21.76
-30.98,8.84,-22.67
-61.9,1.92,1.87
-61.48,1.71,3.04
-60.96,1.5,4.18
-60.35,1.3,5.29
-59.66,1.1,6.36
-58.87,0.89,7.43
-57.97,0.68,8.54
-56.99,0.47,9.68
-55.95,0.26,10.79
-54.9,0.09,11.77
-53.85,-0.07,12.53
-52.79,-0.22,13.07
-51.69,-0.39,13.44
-50.55,-0.58,13.69
-49.37,-0.8,13.86
-48.17,-1.03,13.97
-46.94,-1.26,14.02
-45.73,-1.48,13.97
-44.5,-1.68,13.85
-43.29,-1.86,13.64
-42.08,-2.0,13.34
-27.36,6.17,-22.43
-28.68,6.19,-23.19
-30.07,6.19,-23.77
-31.52,6.2,-24.17
-33.04,6.25,-24.35
-34.59,6.36,-24.33
-36.18,6.49,-24.1
-37.79,6.66,-23.65
-39.42,6.81,-22.99
-41.04,6.92,-22.16
-42.63,7.0,-21.12
-44.12,7.07,-19.94
-45.49,7.13,-18.63
-46.7,7.19,-17.23
-47.78,7.22,-15.77
-48.73,7.2,-14.25
-49.57,7.14,-12.65
-50.29,7.06,-10.96
-50.92,6.97,-9.15
-51.45,6.9,-7.27
-27.83,-2.52,-1.79
-27.95,-2.34,-3.95
-28.14,-2.22,-6.14
-28.38,-2.15,-8.36
-28.65,-2.13,-10.61
-28.95,-2.17,-12.86
-29.29,-2.22,-15.08
-29.69,-2.29,-17.21
-30.17,-2.34,-19.22
-30.72,-2.35,-21.07
-31.37,-2.31,-22.7
-32.1,-2.21,-24.06
-32.89,-2.06,-25.2
-33.71,-1.88,-26.23
-34.56,-1.7,-27.21
-35.47,-1.54,-28.14
-36.44,-1.37,-28.99
-37.45,-1.19,-29.78
-38.47,-1.0,-30.49
-39.5,-0.78,-31.12
-40.56,-0.56,-31.61
-41.69,-0.38,-31.92
-42.93,-0.24,-32.0
-44.26,-0.13,-31.83
-45.69,-0.04,-31.41
-47.2,0.06,-30.74
-48.79,0.17,-29.79
-50.44,0.28,-28.55
-52.11,0.38,-27.04
-53.74,0.4,-25.3
-55.34,0.32,-23.36
-34.92,-9.55,3.7
-34.48,-9.44,2.96
-34.06,-9.33,2.31
-33.68,-9.22,1.73
-33.35,-9.13,1.18
-33.05,-9.06,0.65
-32.8,-9.01,0.1
