yaw,pitch,roll
6.45,2.91,8.05
7.6,2.91,8.96
8.76,2.87,9.8
9.89,2.74,10.47
10.95,2.49,10.89
11.95,2.16,11.03
12.87,1.73,10.89
13.73,1.23,10.49
14.54,0.67,9.88
15.33,0.1,9.12
16.1,-0.45,8.27
16.82,-0.97,7.38
17.48,-1.46,6.5
18.05,-1.88,5.59
18.55,-2.26,4.65
18.98,-2.56,3.68
19.34,-2.79,2.66
19.63,-2.92,1.61
19.82,-2.94,0.51
19.89,-2.85,-0.62
19.83,-2.66,-1.82
19.63,-2.38,-3.11
19.28,-2.04,-4.51
18.79,-1.66,-6.03
18.17,-1.26,-7.67
17.44,-0.85,-9.38
16.61,-0.45,-11.14
15.68,-0.05,-12.92
14.7,0.35,-14.66
13.66,0.75,-16.34
12.58,1.16,-17.92
11.44,1.56,-19.38
-11.92,9.84,3.48
-11.23,9.6,4.31
-10.41,9.27,5.05
-9.43,8.91,5.75
-8.3,8.52,6.45
-7.1,8.05,7.22
-5.9,7.46,8.07
-4.74,6.72,8.93
-3.61,5.91,9.73
-2.48,5.08,10.51
-1.33,4.31,11.29
-0.15,3.62,12.02
1.06,3.01,12.68
2.3,2.5,13.23
3.55,2.04,13.66
4.82,1.61,13.97
6.11,1.19,14.13
7.4,0.76,14.13
8.68,0.29,13.98
9.91,-0.2,13.64
11.08,-0.69,13.13
12.16,-1.14,12.45
13.13,-1.51,11.6
13.98,-1.75,10.6
14.67,-1.87,9.48
15.19,-1.84,8.26
15.51,-1.68,6.96
15.67,-1.37,5.6
15.65,-0.9,4.18
15.48,-0.26,2.75
15.2,0.54,1.31
14.84,1.45,-0.14
14.45,2.42,-1.61
14.02,3.42,-3.1
13.54,4.39,-4.59
13.01,5.31,-6.12
12.43,6.15,-7.67
11.79,6.88,-9.26
11.08,7.48,-10.87
10.33,7.99,-12.49
9.56,8.42,-14.09
8.75,8.79,-15.64
7.92,9.15,-17.1
-15.87,9.63,6.99
-15.2,9.31,7.81
-14.44,8.95,8.62
-13.55,8.56,9.47
-12.53,8.17,10.33
-11.41,7.78,11.17
-10.22,7.35,11.9
-8.97,6.86,12.52
-7.71,6.32,13.0
-6.4,5.74,13.31
-5.0,5.16,13.5
-3.49,4.55,13.64
-1.93,3.87,13.85
-0.35,3.13,14.09
1.23,2.29,14.35
2.77,1.39,14.6
4.27,0.47,14.79
5.74,-0.43,14.9
7.18,-1.27,14.91
8.59,-2.0,14.8
9.93,-2.59,14.57
11.2,-3.03,14.21
12.36,-3.35,13.69
13.39,-3.56,13.03
14.27,-3.69,12.21
