yaw,pitch,roll
-51.83,1.5,-14.1
-52.69,-1.11,9.14
-52.25,-1.25,9.21
-51.82,-1.42,9.21
-51.4,-1.61,9.14
-50.99,-1.81,9.02
-50.57,-2.0,8.89
-50.16,-2.17,8.75
-49.75,-2.33,8.6
-49.33,-2.44,8.43
-48.92,-2.55,8.26
-48.51,-2.64,8.08
-48.12,-2.74,7.89
-47.74,-2.83,7.7
-47.38,-2.9,7.5
-47.04,-2.97,7.29
-46.71,-3.01,7.06
-46.4,-3.06,6.83
-46.1,-3.09,6.61
-45.8,-3.11,6.39
-45.52,-3.11,6.18
-45.26,-3.09,5.99
-45.03,-3.05,5.83
-44.82,-2.98,5.67
-44.62,-2.9,5.53
-44.43,-2.82,5.39
-44.26,-2.74,5.26
-44.1,-2.67,5.15
-43.95,-2.62,5.03
-43.82,-2.6,4.91
-43.71,-2.59,4.8
-43.63,-2.59,4.69
-43.54,-2.59,4.6
-43.46,-2.57,4.52
-43.4,-2.52,4.45
-43.33,-2.45,4.39
-43.27,-2.35,4.33
-43.21,-2.25,4.27
-31.07,1.03,4.53
-30.33,1.3,4.12
-29.6,1.58,3.72
-28.88,1.86,3.32
-28.15,2.12,2.93
-27.44,2.37,2.53
-26.74,2.61,2.11
-26.05,2.83,1.68
-25.39,3.03,1.22
-24.76,3.22,0.72
-24.19,3.41,0.18
-23.64,3.64,-0.43
-23.15,3.91,-1.07
-22.71,4.21,-1.73
-22.33,4.56,-2.43
-22.02,4.94,-3.17
-21.77,5.34,-3.97
-21.58,5.72,-4.81
-21.47,6.08,-5.68
-21.42,6.41,-6.59
-21.42,6.73,-7.52
-21.48,7.03,-8.47
-21.6,7.31,-9.41
-21.79,7.56,-10.36
-22.04,7.79,-11.32
-22.35,7.99,-12.32
-22.72,8.18,-13.37
-23.15,8.36,-14.46
-23.62,8.54,-15.57
-24.13,8.75,-16.69
-24.7,8.98,-17.79
-25.35,9.2,-18.85
-26.06,9.44,-19.86
-26.84,9.64,-20.79
-27.7,9.8,-21.65
-28.64,9.91,-22.4
-56.98,2.45,-1.48
-56.47,2.34,-0.51
-55.91,2.24,0.53
-55.34,2.14,1.56
-54.77,2.06,2.52
-54.2,2.05,3.38
-53.55,2.12,4.14
-52.77,2.24,4.9
-51.88,2.4,5.68
-50.91,2.56,6.5
-49.91,2.66,7.33
-48.9,2.67,8.06
-47.91,2.58,8.65
-46.9,2.41,9.1
-45.84,2.21,9.44
-44.7,2.02,9.74
-43.51,1.85,10.0
-42.29,1.69,10.21
-41.07,1.53,10.36
-39.89,1.34,10.39
-38.73,1.17,10.31
-37.61,1.01,10.1
-36.51,0.9,9.78
-35.44,0.84,9.35
-34.4,0.83,8.81
-33.41,0.86,8.17
